Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5030607,-,-,-,40.72,-74.01,0,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2023,1,1,0,0,8,1.1300000000000001,0.07,0.61,0,0,0,0,6,8,0,0,0,0,0.27,100,115.98,0.97,0.08,1009,3.5,198,1.9000000000000001
2023,1,1,1,0,8.200000000000001,1.1500000000000001,0.056,0.61,0,0,0,0,6,8.200000000000001,0,0,0,0,0.272,100,127.3,0.96,0.08,1008,3.4000000000000004,204,2
2023,1,1,2,0,8.200000000000001,1.19,0.058,0.61,0,0,0,0,6,8.200000000000001,0,0,0,0,0.275,99.66,138.59,0.96,0.08,1007,3.3000000000000003,215,1.9000000000000001
2023,1,1,3,0,8.1,1.23,0.066,0.61,0,0,0,0,6,8,0,0,0,0,0.276,99.03,149.36,0.9500000000000001,0.08,1007,3.2,233,1.7000000000000002
2023,1,1,4,0,8.200000000000001,1.31,0.07100000000000001,0.61,0,0,0,0,6,8,0,0,0,0,0.275,98.33,158.35,0.9400000000000001,0.08,1006,2.9000000000000004,256,2.3000000000000003
2023,1,1,5,0,7.6000000000000005,1.4000000000000001,0.07200000000000001,0.61,0,0,0,0,7,7.5,0,0,0,0,0.278,99.18,162.3,0.93,0.08,1006,2.6,268,1.9000000000000001
2023,1,1,6,0,7,1.46,0.07,0.61,0,0,0,0,4,7,0,0,0,0,0.28300000000000003,100,158.18,0.92,0.08,1006,2.2,275,2
2023,1,1,7,0,6.7,1.49,0.061,0.61,0,0,0,0,1,6.7,0,0,0,0,0.28,99.83,149.12,0.92,0.08,1006,1.9000000000000001,273,2.2
2023,1,1,8,0,6.300000000000001,1.5,0.049,0.61,0,0,0,0,0,6.300000000000001,0,0,0,0,0.278,100,138.33,0.91,0.08,1007,1.5,275,2.2
2023,1,1,9,0,6.1000000000000005,1.47,0.043000000000000003,0.61,0,0,0,0,1,6.1000000000000005,0,0,0,0,0.279,100,127.03,0.9,0.08,1007,1.2000000000000002,276,2.4000000000000004
2023,1,1,10,0,5.9,1.43,0.038,0.61,0,0,0,0,1,5.9,0,0,0,0,0.279,99.82000000000001,115.71000000000001,0.9,0.08,1008,1,278,2.8000000000000003
2023,1,1,11,0,5.6000000000000005,1.4000000000000001,0.035,0.61,0,0,0,0,1,5.5,0,0,0,0,0.278,99.51,104.67,0.9,0.08,1009,1,280,2.8000000000000003
2023,1,1,12,0,5.4,1.3800000000000001,0.037,0.61,0,0,0,0,1,5.300000000000001,0,0,0,0,0.278,99.15,94.17,0.9,0.08,1010,1,280,2.7
2023,1,1,13,0,5.9,1.36,0.04,0.61,29,447,73,7,3,5.5,45,3,7,46,0.28,97.37,84.38,0.91,0.08,1011,1,277,2.9000000000000004
2023,1,1,14,0,6.9,1.3900000000000001,0.039,0.61,49,701,218,0,1,6,49,701,0,218,0.28200000000000003,94.14,76.07000000000001,0.91,0.08,1012,1.1,277,3.1
