time,temp_air,dhi,ghi,dni,wind_speed
2023-01-01 00:00:00,7.4,0,0,0,1.6
2023-01-01 01:00:00,6.7,0,0,0,1.6
2023-01-01 02:00:00,6.4,0,0,0,1.8
2023-01-01 03:00:00,6.0,0,0,0,1.8
2023-01-01 04:00:00,5.9,0,0,0,1.9
2023-01-01 05:00:00,5.6000000000000005,0,0,0,2.1
2023-01-01 06:00:00,5.300000000000001,0,0,0,2.2
2023-01-01 07:00:00,5.1000000000000005,0,0,0,2.1
2023-01-01 08:00:00,5.7,45,46,3,2.4000000000000004
2023-01-01 09:00:00,6.7,49,219,705,2.6
2023-01-01 10:00:00,7.800000000000001,160,264,297,2.6
2023-01-01 11:00:00,8.6,190,327,327,2.6
2023-01-01 12:00:00,9.2,60,453,887,2.4000000000000004
2023-01-01 13:00:00,9.8,57,423,873,2.1
2023-01-01 14:00:00,9.8,54,339,819,1.7000000000000002
2023-01-01 15:00:00,8.6,45,214,708,1.0
2023-01-01 16:00:00,6.0,26,70,464,1.1
2023-01-01 17:00:00,5.4,0,0,0,1.2000000000000002
2023-01-01 18:00:00,4.800000000000001,0,0,0,1.2000000000000002
2023-01-01 19:00:00,4.3,0,0,0,1.2000000000000002
2023-01-01 20:00:00,3.8,0,0,0,1.3
2023-01-01 21:00:00,3.4000000000000004,0,0,0,1.3
2023-01-01 22:00:00,3.3000000000000003,0,0,0,1.3
2023-01-01 23:00:00,3.7,0,0,0,1.6
2023-01-02 00:00:00,3.7,0,0,0,1.7000000000000002
2023-01-02 01:00:00,2.9000000000000004,0,0,0,1.6
2023-01-02 02:00:00,3.0,0,0,0,1.6
2023-01-02 03:00:00,3.1,0,0,0,1.5
2023-01-02 04:00:00,2.8000000000000003,0,0,0,1.5
2023-01-02 05:00:00,2.4000000000000004,0,0,0,1.4
2023-01-02 06:00:00,2.6,0,0,0,1.2000000000000002
2023-01-02 07:00:00,3.1,0,0,0,1.1
2023-01-02 08:00:00,4.5,19,19,0,0.8
2023-01-02 09:00:00,6.6000000000000005,39,39,1,0.7000000000000001
2023-01-02 10:00:00,8.200000000000001,69,70,2,0.7000000000000001
2023-01-02 11:00:00,9.5,68,68,1,0.8
2023-01-02 12:00:00,10.4,251,288,83,0.9
2023-01-02 13:00:00,11.0,126,126,1,0.9
2023-01-02 14:00:00,11.1,131,132,3,0.8
2023-01-02 15:00:00,10.1,37,37,0,0.7000000000000001
2023-01-02 16:00:00,8.700000000000001,11,11,0,1.1
2023-01-02 17:00:00,7.9,0,0,0,1.2000000000000002
2023-01-02 18:00:00,7.5,0,0,0,1.3
2023-01-02 19:00:00,7.300000000000001,0,0,0,1.2000000000000002
2023-01-02 20:00:00,7.1000000000000005,0,0,0,1.2000000000000002
2023-01-02 21:00:00,7.0,0,0,0,1.2000000000000002
2023-01-02 22:00:00,7.2,0,0,0,1.1
2023-01-02 23:00:00,7.4,0,0,0,0.9
2023-01-03 00:00:00,7.2,0,0,0,0.9
2023-01-03 01:00:00,6.7,0,0,0,1.1
2023-01-03 02:00:00,6.1000000000000005,0,0,0,1.1
2023-01-03 03:00:00,5.9,0,0,0,1.1
2023-01-03 04:00:00,5.9,0,0,0,1.3
2023-01-03 05:00:00,5.9,0,0,0,1.2000000000000002
2023-01-03 06:00:00,5.9,0,0,0,1.2000000000000002
2023-01-03 07:00:00,6.2,0,0,0,1.3
2023-01-03 08:00:00,6.9,9,9,0,1.4
2023-01-03 09:00:00,7.9,41,41,0,1.7000000000000002
2023-01-03 10:00:00,9.2,32,32,0,1.9
2023-01-03 11:00:00,9.8,7,7,0,1.9
2023-01-03 12:00:00,9.6,18,18,0,1.9
2023-01-03 13:00:00,9.6,27,27,0,2.1
2023-01-03 14:00:00,9.9,40,40,0,2.5
2023-01-03 15:00:00,9.8,86,89,12,2.6
2023-01-03 16:00:00,9.4,8,8,0,2.6
2023-01-03 17:00:00,9.3,0,0,0,2.5
2023-01-03 18:00:00,9.4,0,0,0,2.3000000000000003
2023-01-03 19:00:00,9.5,0,0,0,2.3000000000000003
2023-01-03 20:00:00,9.5,0,0,0,2.4000000000000004
2023-01-03 21:00:00,9.4,0,0,0,2.3000000000000003
2023-01-03 22:00:00,9.5,0,0,0,2.3000000000000003
2023-01-03 23:00:00,9.5,0,0,0,2.3000000000000003
2023-01-04 00:00:00,9.7,0,0,0,2.2
2023-01-04 01:00:00,9.2,0,0,0,1.9
2023-01-04 02:00:00,9.0,0,0,0,1.9
2023-01-04 03:00:00,9.0,0,0,0,1.7000000000000002
2023-01-04 04:00:00,9.0,0,0,0,1.7000000000000002
2023-01-04 05:00:00,9.5,0,0,0,1.8
2023-01-04 06:00:00,9.6,0,0,0,1.7000000000000002
2023-01-04 07:00:00,9.0,0,0,0,1.4
2023-01-04 08:00:00,10.3,28,66,392,1.5
2023-01-04 09:00:00,11.3,49,206,648,1.5
2023-01-04 10:00:00,12.3,129,285,443,1.6
2023-01-04 11:00:00,12.9,203,270,159,1.4
2023-01-04 12:00:00,12.9,209,266,128,0.9
2023-01-04 13:00:00,12.6,193,289,226,0.5
2023-01-04 14:00:00,11.9,174,231,160,1.2000000000000002
2023-01-04 15:00:00,11.3,46,47,1,1.7000000000000002
2023-01-04 16:00:00,10.7,9,9,0,1.8
2023-01-04 17:00:00,10.3,0,0,0,1.6
2023-01-04 18:00:00,10.0,0,0,0,1.2000000000000002
2023-01-04 19:00:00,9.7,0,0,0,1.1
2023-01-04 20:00:00,9.4,0,0,0,1.1
2023-01-04 21:00:00,9.3,0,0,0,1.1
2023-01-04 22:00:00,9.2,0,0,0,1.2000000000000002
2023-01-04 23:00:00,9.4,0,0,0,1.3
2023-01-05 00:00:00,9.8,0,0,0,1.4
2023-01-05 01:00:00,9.8,0,0,0,1.3
2023-01-05 02:00:00,8.9,0,0,0,1.2000000000000002
2023-01-05 03:00:00,8.4,0,0,0,1.2000000000000002
2023-01-05 04:00:00,7.9,0,0,0,1.2000000000000002
2023-01-05 05:00:00,7.300000000000001,0,0,0,1.1
2023-01-05 06:00:00,6.800000000000001,0,0,0,1.0
2023-01-05 07:00:00,6.7,0,0,0,1.0
2023-01-05 08:00:00,7.300000000000001,27,27,1,1.2000000000000002
2023-01-05 09:00:00,7.800000000000001,46,46,1,1.2000000000000002
2023-01-05 10:00:00,8.5,70,70,0,1.2000000000000002
2023-01-05 11:00:00,9.3,121,124,6,1.3
2023-01-05 12:00:00,10.1,71,71,0,1.2000000000000002
2023-01-05 13:00:00,10.5,144,149,13,1.2000000000000002
2023-01-05 14:00:00,10.3,73,74,2,1.2000000000000002
2023-01-05 15:00:00,9.5,80,80,1,1.3
2023-01-05 16:00:00,7.7,28,28,0,1.3
2023-01-05 17:00:00,6.800000000000001,0,0,0,1.4
2023-01-05 18:00:00,6.2,0,0,0,1.4
2023-01-05 19:00:00,5.800000000000001,0,0,0,1.4
2023-01-05 20:00:00,6.2,0,0,0,1.6
2023-01-05 21:00:00,6.4,0,0,0,1.8
2023-01-05 22:00:00,6.4,0,0,0,1.9
2023-01-05 23:00:00,6.300000000000001,0,0,0,1.9
2023-01-06 00:00:00,6.1000000000000005,0,0,0,1.8
2023-01-06 01:00:00,5.6000000000000005,0,0,0,1.5
2023-01-06 02:00:00,5.1000000000000005,0,0,0,1.3
2023-01-06 03:00:00,4.4,0,0,0,1.6
2023-01-06 04:00:00,3.9,0,0,0,1.7000000000000002
2023-01-06 05:00:00,3.8,0,0,0,1.7000000000000002
2023-01-06 06:00:00,3.8,0,0,0,1.5
2023-01-06 07:00:00,3.7,0,0,0,1.4
2023-01-06 08:00:00,4.4,14,14,0,1.8
2023-01-06 09:00:00,5.1000000000000005,35,35,0,1.5
2023-01-06 10:00:00,5.7,21,21,0,0.9
2023-01-06 11:00:00,6.5,67,67,0,0.5
2023-01-06 12:00:00,7.300000000000001,151,152,1,0.9
2023-01-06 13:00:00,7.7,235,253,41,1.3
2023-01-06 14:00:00,7.9,129,130,2,1.4
2023-01-06 15:00:00,7.4,7,7,0,1.1
2023-01-06 16:00:00,5.9,26,26,0,1.1
2023-01-06 17:00:00,5.2,0,0,0,1.6
2023-01-06 18:00:00,4.7,0,0,0,2.0
2023-01-06 19:00:00,4.2,0,0,0,2.3000000000000003
2023-01-06 20:00:00,3.9,0,0,0,2.7
2023-01-06 21:00:00,3.6,0,0,0,2.7
2023-01-06 22:00:00,3.4000000000000004,0,0,0,2.8000000000000003
2023-01-06 23:00:00,3.0,0,0,0,2.7
2023-01-07 00:00:00,2.5,0,0,0,2.6
2023-01-07 01:00:00,1.9,0,0,0,2.4000000000000004
2023-01-07 02:00:00,1.1,0,0,0,2.2
2023-01-07 03:00:00,0.6000000000000001,0,0,0,2.1
2023-01-07 04:00:00,0.1,0,0,0,2.0
2023-01-07 05:00:00,-0.1,0,0,0,2.0
2023-01-07 06:00:00,-0.1,0,0,0,2.0
2023-01-07 07:00:00,0.2,0,0,0,2.1
2023-01-07 08:00:00,1.6,26,26,1,2.4000000000000004
2023-01-07 09:00:00,3.0,112,113,5,2.2
2023-01-07 10:00:00,4.3,182,251,193,2.3000000000000003
2023-01-07 11:00:00,5.5,215,268,125,2.4000000000000004
2023-01-07 12:00:00,6.4,253,276,50,2.4000000000000004
