Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Wind Speed
2023,1,1,0,0,7.4,0,0,0,1.6
2023,1,1,1,0,6.7,0,0,0,1.6
2023,1,1,2,0,6.4,0,0,0,1.8
2023,1,1,3,0,6,0,0,0,1.8
2023,1,1,4,0,5.9,0,0,0,1.9000000000000001
2023,1,1,5,0,5.6000000000000005,0,0,0,2.1
2023,1,1,6,0,5.300000000000001,0,0,0,2.2
2023,1,1,7,0,5.1000000000000005,0,0,0,2.1
2023,1,1,8,0,5.7,45,46,3,2.4000000000000004
2023,1,1,9,0,6.7,49,219,705,2.6
2023,1,1,10,0,7.800000000000001,160,264,297,2.6
2023,1,1,11,0,8.6,190,327,327,2.6
2023,1,1,12,0,9.200000000000001,60,453,887,2.4000000000000004
2023,1,1,13,0,9.8,57,423,873,2.1
2023,1,1,14,0,9.8,54,339,819,1.7000000000000002
2023,1,1,15,0,8.6,45,214,708,1
2023,1,1,16,0,6,26,70,464,1.1
2023,1,1,17,0,5.4,0,0,0,1.2000000000000002
2023,1,1,18,0,4.800000000000001,0,0,0,1.2000000000000002
2023,1,1,19,0,4.3,0,0,0,1.2000000000000002
2023,1,1,20,0,3.8000000000000003,0,0,0,1.3
2023,1,1,21,0,3.4000000000000004,0,0,0,1.3
2023,1,1,22,0,3.3000000000000003,0,0,0,1.3
2023,1,1,23,0,3.7,0,0,0,1.6
2023,1,2,0,0,3.7,0,0,0,1.7000000000000002
2023,1,2,1,0,2.9000000000000004,0,0,0,1.6
2023,1,2,2,0,3,0,0,0,1.6
2023,1,2,3,0,3.1,0,0,0,1.5
2023,1,2,4,0,2.8000000000000003,0,0,0,1.5
2023,1,2,5,0,2.4000000000000004,0,0,0,1.4000000000000001
2023,1,2,6,0,2.6,0,0,0,1.2000000000000002
2023,1,2,7,0,3.1,0,0,0,1.1
2023,1,2,8,0,4.5,19,19,0,0.8
2023,1,2,9,0,6.6000000000000005,39,39,1,0.7000000000000001
2023,1,2,10,0,8.200000000000001,69,70,2,0.7000000000000001
2023,1,2,11,0,9.5,68,68,1,0.8
2023,1,2,12,0,10.4,251,288,83,0.9
2023,1,2,13,0,11,126,126,1,0.9
2023,1,2,14,0,11.100000000000001,131,132,3,0.8
2023,1,2,15,0,10.100000000000001,37,37,0,0.7000000000000001
2023,1,2,16,0,8.700000000000001,11,11,0,1.1
2023,1,2,17,0,7.9,0,0,0,1.2000000000000002
2023,1,2,18,0,7.5,0,0,0,1.3
2023,1,2,19,0,7.300000000000001,0,0,0,1.2000000000000002
2023,1,2,20,0,7.1000000000000005,0,0,0,1.2000000000000002
2023,1,2,21,0,7,0,0,0,1.2000000000000002
2023,1,2,22,0,7.2,0,0,0,1.1
2023,1,2,23,0,7.4,0,0,0,0.9
2023,1,3,0,0,7.2,0,0,0,0.9
2023,1,3,1,0,6.7,0,0,0,1.1
2023,1,3,2,0,6.1000000000000005,0,0,0,1.1
2023,1,3,3,0,5.9,0,0,0,1.1
2023,1,3,4,0,5.9,0,0,0,1.3
2023,1,3,5,0,5.9,0,0,0,1.2000000000000002
2023,1,3,6,0,5.9,0,0,0,1.2000000000000002
2023,1,3,7,0,6.2,0,0,0,1.3
2023,1,3,8,0,6.9,9,9,0,1.4000000000000001
2023,1,3,9,0,7.9,41,41,0,1.7000000000000002
2023,1,3,10,0,9.200000000000001,32,32,0,1.9000000000000001
2023,1,3,11,0,9.8,7,7,0,1.9000000000000001
2023,1,3,12,0,9.600000000000001,18,18,0,1.9000000000000001
2023,1,3,13,0,9.600000000000001,27,27,0,2.1
2023,1,3,14,0,9.9,40,40,0,2.5
2023,1,3,15,0,9.8,86,89,12,2.6
2023,1,3,16,0,9.4,8,8,0,2.6
2023,1,3,17,0,9.3,0,0,0,2.5
2023,1,3,18,0,9.4,0,0,0,2.3000000000000003
2023,1,3,19,0,9.5,0,0,0,2.3000000000000003
2023,1,3,20,0,9.5,0,0,0,2.4000000000000004
2023,1,3,21,0,9.4,0,0,0,2.3000000000000003
2023,1,3,22,0,9.5,0,0,0,2.3000000000000003
2023,1,3,23,0,9.5,0,0,0,2.3000000000000003
2023,1,4,0,0,9.700000000000001,0,0,0,2.2
2023,1,4,1,0,9.200000000000001,0,0,0,1.9000000000000001
2023,1,4,2,0,9,0,0,0,1.9000000000000001
2023,1,4,3,0,9,0,0,0,1.7000000000000002
2023,1,4,4,0,9,0,0,0,1.7000000000000002
2023,1,4,5,0,9.5,0,0,0,1.8
2023,1,4,6,0,9.600000000000001,0,0,0,1.7000000000000002
2023,1,4,7,0,9,0,0,0,1.4000000000000001
2023,1,4,8,0,10.3,28,66,392,1.5
2023,1,4,9,0,11.3,49,206,648,1.5
2023,1,4,10,0,12.3,129,285,443,1.6
2023,1,4,11,0,12.9,203,270,159,1.4000000000000001
2023,1,4,12,0,12.9,209,266,128,0.9
2023,1,4,13,0,12.600000000000001,193,289,226,0.5
2023,1,4,14,0,11.9,174,231,160,1.2000000000000002
2023,1,4,15,0,11.3,46,47,1,1.7000000000000002
2023,1,4,16,0,10.700000000000001,9,9,0,1.8
2023,1,4,17,0,10.3,0,0,0,1.6
2023,1,4,18,0,10,0,0,0,1.2000000000000002
2023,1,4,19,0,9.700000000000001,0,0,0,1.1
2023,1,4,20,0,9.4,0,0,0,1.1
2023,1,4,21,0,9.3,0,0,0,1.1
2023,1,4,22,0,9.200000000000001,0,0,0,1.2000000000000002
2023,1,4,23,0,9.4,0,0,0,1.3
2023,1,5,0,0,9.8,0,0,0,1.4000000000000001
2023,1,5,1,0,9.8,0,0,0,1.3
2023,1,5,2,0,8.9,0,0,0,1.2000000000000002
2023,1,5,3,0,8.4,0,0,0,1.2000000000000002
2023,1,5,4,0,7.9,0,0,0,1.2000000000000002
2023,1,5,5,0,7.300000000000001,0,0,0,1.1
2023,1,5,6,0,6.800000000000001,0,0,0,1
2023,1,5,7,0,6.7,0,0,0,1
2023,1,5,8,0,7.300000000000001,27,27,1,1.2000000000000002
2023,1,5,9,0,7.800000000000001,46,46,1,1.2000000000000002
2023,1,5,10,0,8.5,70,70,0,1.2000000000000002
2023,1,5,11,0,9.3,121,124,6,1.3
2023,1,5,12,0,10.100000000000001,71,71,0,1.2000000000000002
2023,1,5,13,0,10.5,144,149,13,1.2000000000000002
2023,1,5,14,0,10.3,73,74,2,1.2000000000000002
2023,1,5,15,0,9.5,80,80,1,1.3
2023,1,5,16,0,7.7,28,28,0,1.3
2023,1,5,17,0,6.800000000000001,0,0,0,1.4000000000000001
2023,1,5,18,0,6.2,0,0,0,1.4000000000000001
2023,1,5,19,0,5.800000000000001,0,0,0,1.4000000000000001
2023,1,5,20,0,6.2,0,0,0,1.6
2023,1,5,21,0,6.4,0,0,0,1.8
2023,1,5,22,0,6.4,0,0,0,1.9000000000000001
2023,1,5,23,0,6.300000000000001,0,0,0,1.9000000000000001
2023,1,6,0,0,6.1000000000000005,0,0,0,1.8
2023,1,6,1,0,5.6000000000000005,0,0,0,1.5
2023,1,6,2,0,5.1000000000000005,0,0,0,1.3
2023,1,6,3,0,4.4,0,0,0,1.6
2023,1,6,4,0,3.9000000000000004,0,0,0,1.7000000000000002
2023,1,6,5,0,3.8000000000000003,0,0,0,1.7000000000000002
2023,1,6,6,0,3.8000000000000003,0,0,0,1.5
2023,1,6,7,0,3.7,0,0,0,1.4000000000000001
2023,1,6,8,0,4.4,14,14,0,1.8
2023,1,6,9,0,5.1000000000000005,35,35,0,1.5
2023,1,6,10,0,5.7,21,21,0,0.9
2023,1,6,11,0,6.5,67,67,0,0.5
2023,1,6,12,0,7.300000000000001,151,152,1,0.9
2023,1,6,13,0,7.7,235,253,41,1.3
