dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3,Month
2023-04-01 00:00:00,7871.88,5869.92,Apr 1st 2023,2023,7166.58,7029.23,7096.0,8831.02,8051.8,6558.32,4
2023-04-01 00:15:00,7083.13,5136.52,Apr 1st 2023,2023,7106.37,6605.93,6614.63,8097.48,7631.47,6354.75,4
2023-04-01 00:30:00,7180.88,5314.33,Apr 1st 2023,2023,6608.57,6820.09,6421.91,7610.45,7173.69,6183.07,4
2023-04-01 00:45:00,7091.17,5168.65,Apr 1st 2023,2023,6772.08,6106.0,6388.17,6947.05,6871.95,6143.48,4
2023-04-01 01:00:00,7059.72,5266.2,Apr 1st 2023,2023,6903.9,5913.27,6377.42,6735.48,6514.73,6494.65,4
2023-04-01 01:15:00,6798.85,4920.27,Apr 1st 2023,2023,6332.2,6508.4,5928.18,6375.22,6411.65,6110.47,4
2023-04-01 01:30:00,7008.18,5201.53,Apr 1st 2023,2023,5871.88,6462.92,6009.57,6316.73,6343.13,5898.13,4
2023-04-01 01:45:00,6754.58,4824.38,Apr 1st 2023,2023,6145.42,6457.33,5737.2,6379.78,6058.72,5832.92,4
2023-04-01 02:00:00,6249.72,4432.7,Apr 1st 2023,2023,5926.02,5861.07,5714.4,6020.83,6115.83,5619.83,4
2023-04-01 02:15:00,6407.87,4486.83,Apr 1st 2023,2023,5953.63,5671.68,5493.85,5613.32,5948.07,5545.05,4
2023-04-01 02:30:00,6372.33,4559.87,Apr 1st 2023,2023,5638.5,5623.33,5655.6,5684.87,5761.08,5570.18,4
2023-04-01 02:45:00,6310.43,4403.95,Apr 1st 2023,2023,5660.85,5784.9,5984.83,5646.85,5725.77,5669.25,4
2023-04-01 03:00:00,6287.8,4412.5,Apr 1st 2023,2023,5896.18,6752.63,5672.08,5507.8,5550.78,5549.17,4
2023-04-01 03:15:00,6408.02,4553.78,Apr 1st 2023,2023,5552.42,6362.05,5579.23,5423.7,5488.98,5700.02,4
2023-04-01 03:30:00,6302.4,4365.72,Apr 1st 2023,2023,5610.13,5681.78,5614.97,5653.25,5555.32,5765.17,4
2023-04-01 03:45:00,6740.2,4408.92,Apr 1st 2023,2023,5625.43,5541.75,5377.18,5339.47,5422.97,5518.32,4
2023-04-01 04:00:00,6253.93,4412.62,Apr 1st 2023,2023,5614.75,5356.35,5385.68,5405.05,5526.53,5423.32,4
2023-04-01 04:15:00,6340.17,4422.95,Apr 1st 2023,2023,5515.68,5353.77,5438.23,5472.0,5544.83,5552.85,4
2023-04-01 04:30:00,6152.88,4349.87,Apr 1st 2023,2023,5973.48,6300.67,5372.92,5512.22,5420.67,5311.55,4
2023-04-01 04:45:00,6001.98,4179.82,Apr 1st 2023,2023,5679.68,6366.1,5317.8,5513.5,5371.33,5696.3,4
2023-04-01 05:00:00,6221.33,4297.58,Apr 1st 2023,2023,5862.83,5775.32,5779.1,5630.33,5088.75,5559.0,4
2023-04-01 05:15:00,5968.33,4166.92,Apr 1st 2023,2023,5655.53,5670.92,5281.95,5273.38,5395.8,5533.37,4
2023-04-01 05:30:00,5973.62,4159.32,Apr 1st 2023,2023,6573.55,5384.62,6255.07,6427.17,5986.72,6028.5,4
2023-04-01 05:45:00,6077.32,4280.12,Apr 1st 2023,2023,6732.32,5159.2,6283.13,6651.25,6033.37,6474.07,4
2023-04-01 06:00:00,6104.52,4309.3,Apr 1st 2023,2023,6848.15,6267.82,6712.53,6289.65,5972.7,6604.27,4
2023-04-01 06:15:00,6711.58,4571.37,Apr 1st 2023,2023,6667.17,6569.42,5965.52,6687.53,5960.88,6637.65,4
