dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
2023-01-06 00:00:00,9188.75,5929.63,Jan 6th 2023,2023,7502.4,8276.55,8829.72,8592.7,8156.72,7708.9
2023-01-06 00:15:00,8011.12,5771.55,Jan 6th 2023,2023,7791.07,8278.63,7415.5,9013.97,8780.88,7137.75
2023-01-06 00:30:00,6990.58,5105.12,Jan 6th 2023,2023,7193.2,7957.79,7401.62,8084.63,7934.31,6814.18
2023-01-06 00:45:00,7431.23,5163.73,Jan 6th 2023,2023,7058.55,7464.58,6854.28,7588.02,7821.77,6578.77
2023-01-06 01:00:00,6578.68,4755.32,Jan 6th 2023,2023,6818.25,6754.35,6289.82,7448.9,6855.12,6401.95
2023-01-06 01:15:00,6264.02,4377.3,Jan 6th 2023,2023,6516.15,6543.5,6203.97,8179.08,6238.45,6540.47
2023-01-06 01:30:00,6621.45,4850.35,Jan 6th 2023,2023,6152.75,6790.15,6031.53,7469.55,6964.88,6017.48
2023-01-06 01:45:00,6429.85,4625.55,Jan 6th 2023,2023,6015.17,6556.6,6288.33,7151.35,7411.38,5866.35
2023-01-06 02:00:00,6000.63,4201.47,Jan 6th 2023,2023,6073.67,6442.05,6052.32,7279.43,6498.63,5899.07
2023-01-06 02:15:00,6230.17,4442.32,Jan 6th 2023,2023,6423.6,6260.98,6122.05,7646.03,6148.63,6082.07
2023-01-06 02:30:00,6286.05,4520.67,Jan 6th 2023,2023,6683.78,6309.23,5954.35,6948.48,6315.63,5805.55
2023-01-06 02:45:00,6296.37,4484.93,Jan 6th 2023,2023,5900.93,6198.53,6076.93,6768.98,7031.23,5953.27
2023-01-06 03:00:00,5760.08,3951.32,Jan 6th 2023,2023,5959.2,6234.72,5723.63,6485.05,6267.92,5734.33
2023-01-06 03:15:00,6004.95,4187.07,Jan 6th 2023,2023,5937.42,6036.85,5577.83,7522.63,6095.65,5845.33
2023-01-06 03:30:00,6169.13,4382.88,Jan 6th 2023,2023,5738.42,5987.1,5673.02,7135.83,6274.0,5711.05
2023-01-06 03:45:00,6113.52,4341.5,Jan 6th 2023,2023,5694.48,6110.65,6071.83,6577.8,6832.2,5543.8
2023-01-06 04:00:00,5996.5,4189.6,Jan 6th 2023,2023,5512.67,5857.05,5839.48,6238.72,5968.18,6631.65
2023-01-06 04:15:00,5712.87,3900.73,Jan 6th 2023,2023,5657.22,6017.07,5788.32,6938.68,5900.45,6934.0
2023-01-06 04:30:00,5889.53,4090.02,Jan 6th 2023,2023,5703.9,6230.7,5721.85,6883.68,6258.23,6628.65
2023-01-06 04:45:00,5865.25,4019.17,Jan 6th 2023,2023,6305.05,6133.12,6204.37,6404.05,6798.77,6225.02
2023-01-06 05:00:00,5765.9,3997.83,Jan 6th 2023,2023,5705.68,6375.68,6199.05,6256.3,6062.98,5823.87
2023-01-06 05:15:00,5837.12,4048.1,Jan 6th 2023,2023,5805.68,5965.37,5570.4,6933.53,5623.13,6512.17
2023-01-06 05:30:00,7034.75,4114.85,Jan 6th 2023,2023,6878.93,5797.05,6940.83,7125.12,6236.33,6494.05
2023-01-06 05:45:00,7381.87,4529.58,Jan 6th 2023,2023,7252.83,6355.47,6952.13,6619.77,6820.73,6316.07
2023-01-06 06:00:00,6800.38,4543.48,Jan 6th 2023,2023,6767.82,6598.33,7189.93,6572.55,5965.45,6143.05
2023-01-06 06:15:00,6969.07,4968.9,Jan 6th 2023,2023,7616.77,7227.55,6999.0,6970.5,6281.7,7349.52
2023-01-06 06:30:00,7401.55,5281.25,Jan 6th 2023,2023,7308.98,8206.05,7373.08,7251.73,6803.42,7723.48
2023-01-06 06:45:00,8550.68,5284.28,Jan 6th 2023,2023,8475.78,8749.92,8624.82,7205.03,7443.45,7629.28
2023-01-06 07:00:00,9446.52,6281.87,Jan 6th 2023,2023,8874.72,9047.1,9559.43,7934.5,6673.93,8383.73
2023-01-06 07:15:00,10013.52,7771.6,Jan 6th 2023,2023,9216.8,9121.78,9047.22,8832.58,6629.02,9819.22
2023-01-06 07:30:00,9052.37,6835.28,Jan 6th 2023,2023,8785.28,8904.9,9248.62,8939.55,7905.03,10199.42
2023-01-06 07:45:00,10247.33,7340.68,Jan 6th 2023,2023,10385.18,9244.68,9200.52,8358.23,8724.58,10124.67
2023-01-06 08:00:00,10137.28,7172.82,Jan 6th 2023,2023,10321.85,8579.52,10034.67,8713.65,8599.1,9110.12
2023-01-06 08:15:00,9781.25,7478.05,Jan 6th 2023,2023,9531.07,8318.28,10156.95,8767.05,8161.53,9001.4
2023-01-06 08:30:00,9830.32,6925.65,Jan 6th 2023,2023,9927.18,8960.95,9483.73,9835.25,8918.98,10353.33
2023-01-06 08:45:00,10169.3,7146.52,Jan 6th 2023,2023,10488.27,9106.1,8808.77,9628.4,9038.13,9355.83
2023-01-06 09:00:00,10493.42,7070.92,Jan 6th 2023,2023,11270.53,9148.62,9838.18,9159.35,8926.52,10166.6
2023-01-06 09:15:00,10324.5,7709.88,Jan 6th 2023,2023,10423.6,9234.13,9978.77,10577.77,8984.58,9023.15
2023-01-06 09:30:00,9569.0,7209.1,Jan 6th 2023,2023,9315.53,8663.72,9255.88,11279.7,9577.07,9968.2
2023-01-06 09:45:00,10450.35,7740.37,Jan 6th 2023,2023,10086.98,8433.6,8843.95,10240.73,10050.6,9141.1
2023-01-06 10:00:00,10758.03,7787.43,Jan 6th 2023,2023,11170.77,8813.2,9248.53,9421.35,10024.83,8841.35
2023-01-06 10:15:00,9635.73,7181.08,Jan 6th 2023,2023,10070.63,8303.77,9348.52,10314.7,9502.95,8997.92
2023-01-06 10:30:00,9790.08,7556.27,Jan 6th 2023,2023,9653.62,9087.28,9304.88,9951.33,9619.15,9799.58
2023-01-06 10:45:00,9811.8,6724.8,Jan 6th 2023,2023,10662.22,8361.58,8888.37,9779.18,10447.72,9329.17
