dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
1/8/2023 0:00,8156.72,5839.75,Jan 8th 2023,2023,8829.72,9188.75,8592.7,7708.9,7744.27,8070.6
1/8/2023 0:15,8780.88,6414.18,Jan 8th 2023,2023,7415.5,8011.12,9013.97,7137.75,7784.67,8125.9
1/8/2023 0:30,7934.31,5375.94,Jan 8th 2023,2023,7401.62,6990.58,8084.63,6814.18,7639.89,7298
1/8/2023 0:45,7821.77,4874.15,Jan 8th 2023,2023,6854.28,7431.23,7588.02,6578.77,6692.2,6503.7
1/8/2023 1:00,6855.12,4683.7,Jan 8th 2023,2023,6289.82,6578.68,7448.9,6401.95,6821.9,6335.2
1/8/2023 1:15,6238.45,4382.73,Jan 8th 2023,2023,6203.97,6264.02,8179.08,6540.47,7014.82,6346.63
1/8/2023 1:30,6964.88,4582.07,Jan 8th 2023,2023,6031.53,6621.45,7469.55,6017.48,7045.57,6013.55
1/8/2023 1:45,7411.38,4473.87,Jan 8th 2023,2023,6288.33,6429.85,7151.35,5866.35,6393.65,5943.28
1/8/2023 2:00,6498.63,4465.52,Jan 8th 2023,2023,6052.32,6000.63,7279.43,5899.07,6273.25,6061.65
1/8/2023 2:15,6148.63,4316.55,Jan 8th 2023,2023,6122.05,6230.17,7646.03,6082.07,5990.45,5936.5
1/8/2023 2:30,6315.63,3875.38,Jan 8th 2023,2023,5954.35,6286.05,6948.48,5805.55,7053.52,5995.62
1/8/2023 2:45,7031.23,4188.03,Jan 8th 2023,2023,6076.93,6296.37,6768.98,5953.27,6228.08,5977.1
1/8/2023 3:00,6267.92,4233.03,Jan 8th 2023,2023,5723.63,5760.08,6485.05,5734.33,5969.15,5807.67
1/8/2023 3:15,6095.65,4229.47,Jan 8th 2023,2023,5577.83,6004.95,7522.63,5845.33,6087.55,5759.17
1/8/2023 3:30,6274,4147.73,Jan 8th 2023,2023,5673.02,6169.13,7135.83,5711.05,6923.32,5772.63
1/8/2023 3:45,6832.2,4004.78,Jan 8th 2023,2023,6071.83,6113.52,6577.8,5543.8,6575.3,5708.93
1/8/2023 4:00,5968.18,3886.93,Jan 8th 2023,2023,5839.48,5996.5,6238.72,6631.65,6184.03,5458.35
1/8/2023 4:15,5900.45,4059.68,Jan 8th 2023,2023,5788.32,5712.87,6938.68,6934,6327.67,5457.5
1/8/2023 4:30,6258.23,4151.37,Jan 8th 2023,2023,5721.85,5889.53,6883.68,6628.65,6749.3,5539.02
1/8/2023 4:45,6798.77,3989.67,Jan 8th 2023,2023,6204.37,5865.25,6404.05,6225.02,6201.35,6071.43
1/8/2023 5:00,6062.98,4034.78,Jan 8th 2023,2023,6199.05,5765.9,6256.3,5823.87,5874.43,6416.28
1/8/2023 5:15,5623.13,3762.6,Jan 8th 2023,2023,5570.4,5837.12,6933.53,6512.17,5866.75,6899.52
1/8/2023 5:30,6236.33,4126.77,Jan 8th 2023,2023,6940.83,7034.75,7125.12,6494.05,7231.83,6709.87
1/8/2023 5:45,6820.73,3992.35,Jan 8th 2023,2023,6952.13,7381.87,6619.77,6316.07,6753.27,6322.27
1/8/2023 6:00,5965.45,3854.27,Jan 8th 2023,2023,7189.93,6800.38,6572.55,6143.05,6774.15,6159.07
1/8/2023 6:15,6281.7,4390.82,Jan 8th 2023,2023,6999,6969.07,6970.5,7349.52,6650.92,6531.8
1/8/2023 6:30,6803.42,4343.8,Jan 8th 2023,2023,7373.08,7401.55,7251.73,7723.48,8131.17,6719.88
1/8/2023 6:45,7443.45,4611.58,Jan 8th 2023,2023,8624.82,8550.68,7205.03,7629.28,7509.83,7847.48
1/8/2023 7:00,6673.93,4360.72,Jan 8th 2023,2023,9559.43,9446.52,7934.5,8383.73,8250.23,10097.98
1/8/2023 7:15,6629.02,4563.88,Jan 8th 2023,2023,9047.22,10013.52,8832.58,9819.22,9393.98,9402.37
1/8/2023 7:30,7905.03,5788.1,Jan 8th 2023,2023,9248.62,9052.37,8939.55,10199.42,10700.98,9741.17
1/8/2023 7:45,8724.58,5851.85,Jan 8th 2023,2023,9200.52,10247.33,8358.23,10124.67,9194.37,9116.62
1/8/2023 8:00,8599.1,6570.58,Jan 8th 2023,2023,10034.67,10137.28,8713.65,9110.12,8803.38,8610.83
1/8/2023 8:15,8161.53,6335.98,Jan 8th 2023,2023,10156.95,9781.25,8767.05,9001.4,9590.07,9124.8
1/8/2023 8:30,8918.98,6195.07,Jan 8th 2023,2023,9483.73,9830.32,9835.25,10353.33,9269.37,10572.53
1/8/2023 8:45,9038.13,5908.48,Jan 8th 2023,2023,8808.77,10169.3,9628.4,9355.83,8429.73,10256.22
1/8/2023 9:00,8926.52,6411.72,Jan 8th 2023,2023,9838.18,10493.42,9159.35,10166.6,9225.95,9722.28
1/8/2023 9:15,8984.58,6480.05,Jan 8th 2023,2023,9978.77,10324.5,10577.77,9023.15,9740.98,8388.98
1/8/2023 9:30,9577.07,6603.85,Jan 8th 2023,2023,9255.88,9569,11279.7,9968.2,10088.88,8617.12
1/8/2023 9:45,10050.6,6491.07,Jan 8th 2023,2023,8843.95,10450.35,10240.73,9141.1,9138.05,9460.57
1/8/2023 10:00,10024.83,6990.27,Jan 8th 2023,2023,9248.53,10758.03,9421.35,8841.35,8688.43,9349.95
1/8/2023 10:15,9502.95,6516.38,Jan 8th 2023,2023,9348.52,9635.73,10314.7,8997.92,8804.32,9247.72
1/8/2023 10:30,9619.15,6725.78,Jan 8th 2023,2023,9304.88,9790.08,9951.33,9799.58,8560.63,9501.37
1/8/2023 10:45,10447.72,6696.93,Jan 8th 2023,2023,8888.37,9811.8,9779.18,9329.17,9760.53,9137.2
1/8/2023 11:00,10306.88,6801.12,Jan 8th 2023,2023,8346.38,10227.67,9364.9,8837.73,9452.48,9454.72
1/8/2023 11:15,8794.82,6528.4,Jan 8th 2023,2023,9386.12,9697,9747.28,8648.22,8958.22,8994.03
1/8/2023 11:30,8687.25,6238.85,Jan 8th 2023,2023,9309.7,9513.62,9573.03,9829.43,8615.97,9438.17
1/8/2023 11:45,9723.65,6630.1,Jan 8th 2023,2023,8476.87,10277.87,9380.4,8664.08,8463.33,9975.95
1/8/2023 12:00,9733.27,6762.93,Jan 8th 2023,2023,8867.82,10569.12,9188.53,8662.03,8354.58,10387.98
1/8/2023 12:15,9046.37,6275.02,Jan 8th 2023,2023,9640.95,9881.5,9840.33,8380.9,8756.27,9986.62
1/8/2023 12:30,8516.98,6373.56,Jan 8th 2023,2023,9414.27,9548.42,9980.8,10289.71,9178.33,8957.34
1/8/2023 12:45,9511.85,6301.08,Jan 8th 2023,2023,8854.45,10312.08,9494.4,9406,9031.65,8243.17
1/8/2023 13:00,9860.32,6438.82,Jan 8th 2023,2023,9596.52,11076.13,10444.5,10271,8189.28,8682.42
1/8/2023 13:15,10327.65,7670.6,Jan 8th 2023,2023,9614.72,10407.77,10893.47,9165.3,9024.53,9253.83
1/8/2023 13:30,9851.1,7405.33,Jan 8th 2023,2023,10177.63,9949.23,10604.33,10063.28,8924.2,10509.07
1/8/2023 13:45,9796.95,6882.48,Jan 8th 2023,2023,9208.12,10007.37,9609.37,9422.57,9191.78,10589.9
1/8/2023 14:00,10761.6,7069.23,Jan 8th 2023,2023,8962.6,11357.67,9847.6,8901.67,10310.62,9632.73
1/8/2023 14:15,10270.62,7231.35,Jan 8th 2023,2023,8910.73,10508.98,9618.12,8846.85,10354.45,9417.02
1/8/2023 14:30,9362.15,7151.65,Jan 8th 2023,2023,10577.27,10564.38,10791.77,10689.48,9670.02,9184.42
1/8/2023 14:45,10339.37,7355.63,Jan 8th 2023,2023,9753.35,10519,10576.7,9497.95,9392.73,9065.58
1/8/2023 15:00,10909.83,7563.83,Jan 8th 2023,2023,8311.05,11223.33,9709.3,8761.45,9335.45,10328.08
1/8/2023 15:15,10009.3,7338.3,Jan 8th 2023,2023,8409.98,11722.18,10458.3,9239.82,8806.2,10639.63
1/8/2023 15:30,10751.13,7931.35,Jan 8th 2023,2023,9280.57,12847.75,11345.33,10612.62,9782.2,10113.5
1/8/2023 15:45,9869.23,7141.4,Jan 8th 2023,2023,9074.18,12773.8,10809.78,9665.12,10795.18,9955.43
1/8/2023 16:00,11413.42,8101.5,Jan 8th 2023,2023,9526.72,12628.3,9892.03,9704.63,10184.45,9441.15
1/8/2023 16:15,11230.22,8182.68,Jan 8th 2023,2023,8807.9,11627.98,10456.22,10061.43,9877.07,9989.45
1/8/2023 16:30,11325.37,8591.02,Jan 8th 2023,2023,9688.63,11533.95,11817.58,10612.05,10234.87,9049.75
1/8/2023 16:45,11529.72,8866.88,Jan 8th 2023,2023,11039.47,10573.72,11036.03,10673.93,10519.62,10921.05
1/8/2023 17:00,13485.98,9283.47,Jan 8th 2023,2023,10220.1,11562.82,10957.25,10426.62,10280.38,11458.08
1/8/2023 17:15,12685.75,9060.68,Jan 8th 2023,2023,9771.37,10793.05,10752.65,9900.32,11419.93,10597.12
1/8/2023 17:30,12502.43,9073.5,Jan 8th 2023,2023,11295.35,10409.7,12078.77,10976.1,12101.85,10885.75
1/8/2023 17:45,13565.77,9993.37,Jan 8th 2023,2023,12942.43,10537.13,11922.07,12011.83,11825.78,10771.03
1/8/2023 18:00,14585.85,10607,Jan 8th 2023,2023,11649.62,11590.73,11215.48,12350.95,12268.2,10898.82
1/8/2023 18:15,14044.37,10682,Jan 8th 2023,2023,11859.68,11765.28,11462,12682.72,11938.55,11316.55
1/8/2023 18:30,13402.67,10144.53,Jan 8th 2023,2023,12729.6,11192.05,12057.97,12449.45,11738.55,11323.22
1/8/2023 18:45,12972.77,10209.08,Jan 8th 2023,2023,13382.48,10840.37,11636.7,12166.65,11888.73,11187.52
1/8/2023 19:00,14107.6,10729.58,Jan 8th 2023,2023,12475.37,12014.38,10773.58,12160.72,12932.25,11424.5
1/8/2023 19:15,13708.42,10164.35,Jan 8th 2023,2023,12246.37,11428.98,10499,11949.98,12335.52,11395.12
1/8/2023 19:30,12823.97,9951.95,Jan 8th 2023,2023,12434.27,11764.05,11751.37,13171.07,11328.27,10635.32
1/8/2023 19:45,11826.92,9018.07,Jan 8th 2023,2023,13400.18,11632.03,11544.63,12729.97,11816,11801.33
1/8/2023 20:00,12545.33,9456.3,Jan 8th 2023,2023,12920.5,12359.72,12039.92,11731.67,11269.7,12256.57
1/8/2023 20:15,12131.77,8661.3,Jan 8th 2023,2023,11989.22,12410.35,11172.23,11282.27,12531.37,12303.72
1/8/2023 20:30,12162.13,9085.82,Jan 8th 2023,2023,11725.02,11321.47,11789.52,12046.27,12491.65,12016.27
1/8/2023 20:45,11242.35,8799.65,Jan 8th 2023,2023,13528.87,11336.52,11522.27,12101.88,12851.57,12207.92
1/8/2023 21:00,11966.57,8542.73,Jan 8th 2023,2023,12385.22,11472.33,11147.18,11268.5,13092.68,11050.07
1/8/2023 21:15,13180.43,9114.28,Jan 8th 2023,2023,11207.92,12127.97,10692.13,11241.78,12473.98,11463.42
1/8/2023 21:30,11513.8,8356.97,Jan 8th 2023,2023,11117.22,10797.55,11640.08,11818.78,11553.52,11770.42
1/8/2023 21:45,11046.98,8369.88,Jan 8th 2023,2023,11681.78,10359.73,11308.67,10452,11912.88,11448.83
1/8/2023 22:00,10817.05,7987.37,Jan 8th 2023,2023,11308.5,10833.68,10285.78,11532.8,12067.25,11107.73
1/8/2023 22:15,11158.65,7935.73,Jan 8th 2023,2023,10382.73,11098.43,9919.63,11902.83,12220.92,11139.67
1/8/2023 22:30,10278.82,7513.33,Jan 8th 2023,2023,10574.92,10856.63,10602.25,11384.95,11512.42,10357.8
1/8/2023 22:45,9393.68,7260.58,Jan 8th 2023,2023,10922.88,10306.65,10026.53,10001.65,11021.05,10661.85
1/8/2023 23:00,9486.27,7301.1,Jan 8th 2023,2023,10295.48,9773.15,8887.12,9954,9837.18,10902.82
1/8/2023 23:15,9982.23,6877.83,Jan 8th 2023,2023,9174.53,9856.9,8769.67,9605.63,9153.42,10397.42
1/8/2023 23:30,9273.27,6421.02,Jan 8th 2023,2023,9565.73,9162.62,9300.73,9611.48,8305.88,9611.28
1/8/2023 23:45,8697.47,6351.98,Jan 8th 2023,2023,8461.57,8632.78,8920.28,8175.67,8165.97,9064.87
1/15/2023 0:00,8135.65,5979.98,Jan 15th 2023,2023,8805.07,7815.15,7947.23,9059,8442.1,7852.87
1/15/2023 0:15,7896.22,5894.47,Jan 15th 2023,2023,9075.38,7480.95,7513.68,7624.28,7705.98,7520.38
1/15/2023 0:30,7209.57,5425.91,Jan 15th 2023,2023,9111.11,7229.9,8080.57,7001.29,7672.13,6812.88
1/15/2023 0:45,8188.3,5263.28,Jan 15th 2023,2023,8558.27,7175.35,8245.03,6785.73,7835.87,6869.97
1/15/2023 1:00,8146.52,5305.47,Jan 15th 2023,2023,7681.48,6995.35,7530.52,6962.43,7733.97,6765.65
1/15/2023 1:15,6904.52,4894.3,Jan 15th 2023,2023,7677.17,6641.57,7262.57,7336.1,7123.43,6500.55
1/15/2023 1:30,6480.35,4652.8,Jan 15th 2023,2023,7279.65,6432.4,7148.08,7272.52,6168.45,6206.37
1/15/2023 1:45,6554.2,4731.18,Jan 15th 2023,2023,6928.97,6877.58,6508.32,6190.22,6044.88,6069.63
1/15/2023 2:00,6333.6,4584.15,Jan 15th 2023,2023,7518.5,6595.13,6855.77,5782.6,6037.03,5976.1
1/15/2023 2:15,6872.33,4177.35,Jan 15th 2023,2023,7607.48,6512.73,7655.42,5883.97,6152.63,5883.65
1/15/2023 2:30,7040.4,4242.27,Jan 15th 2023,2023,6713.23,5971.38,6744.1,6002.55,6792.73,5761.73
1/15/2023 2:45,6104.97,4089.55,Jan 15th 2023,2023,6722.55,6315.17,6199.2,6446.98,6890.05,5545.27
