dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
2023-01-05 00:00:00,8829.72,5877.98,Jan 5th 2023,2023,7755.88,7502.4,8276.55,9188.75,8592.7,8156.72
2023-01-05 00:15:00,7415.5,5317.55,Jan 5th 2023,2023,7824.42,7791.07,8278.63,8011.12,9013.97,8780.88
2023-01-05 00:30:00,7401.62,5422.77,Jan 5th 2023,2023,7137.95,7193.2,7957.79,6990.58,8084.63,7934.31
2023-01-05 00:45:00,6854.28,5051.83,Jan 5th 2023,2023,6942.7,7058.55,7464.58,7431.23,7588.02,7821.77
2023-01-05 01:00:00,6289.82,4453.2,Jan 5th 2023,2023,6575.33,6818.25,6754.35,6578.68,7448.9,6855.12
2023-01-05 01:15:00,6203.97,4378.0,Jan 5th 2023,2023,6233.7,6516.15,6543.5,6264.02,8179.08,6238.45
2023-01-05 01:30:00,6031.53,4257.68,Jan 5th 2023,2023,6492.27,6152.75,6790.15,6621.45,7469.55,6964.88
2023-01-05 01:45:00,6288.33,4487.38,Jan 5th 2023,2023,6071.82,6015.17,6556.6,6429.85,7151.35,7411.38
2023-01-05 02:00:00,6052.32,4241.93,Jan 5th 2023,2023,6072.97,6073.67,6442.05,6000.63,7279.43,6498.63
2023-01-05 02:15:00,6122.05,4320.47,Jan 5th 2023,2023,5962.17,6423.6,6260.98,6230.17,7646.03,6148.63
2023-01-05 02:30:00,5954.35,4184.27,Jan 5th 2023,2023,5778.9,6683.78,6309.23,6286.05,6948.48,6315.63
2023-01-05 02:45:00,6076.93,4303.83,Jan 5th 2023,2023,5843.82,5900.93,6198.53,6296.37,6768.98,7031.23
2023-01-05 03:00:00,5723.63,3932.63,Jan 5th 2023,2023,5719.38,5959.2,6234.72,5760.08,6485.05,6267.92
2023-01-05 03:15:00,5577.83,3803.13,Jan 5th 2023,2023,5559.92,5937.42,6036.85,6004.95,7522.63,6095.65
2023-01-05 03:30:00,5673.02,3897.15,Jan 5th 2023,2023,5881.38,5738.42,5987.1,6169.13,7135.83,6274.0
2023-01-05 03:45:00,6071.83,4325.35,Jan 5th 2023,2023,5691.7,5694.48,6110.65,6113.52,6577.8,6832.2
2023-01-05 04:00:00,5839.48,4082.12,Jan 5th 2023,2023,5872.57,5512.67,5857.05,5996.5,6238.72,5968.18
2023-01-05 04:15:00,5788.32,3865.92,Jan 5th 2023,2023,5705.82,5657.22,6017.07,5712.87,6938.68,5900.45
2023-01-05 04:30:00,5721.85,3918.38,Jan 5th 2023,2023,5535.23,5703.9,6230.7,5889.53,6883.68,6258.23
2023-01-05 04:45:00,6204.37,4074.78,Jan 5th 2023,2023,5768.15,6305.05,6133.12,5865.25,6404.05,6798.77
2023-01-05 05:00:00,6199.05,4181.12,Jan 5th 2023,2023,6036.27,5705.68,6375.68,5765.9,6256.3,6062.98
2023-01-05 05:15:00,5570.4,3784.5,Jan 5th 2023,2023,5713.37,5805.68,5965.37,5837.12,6933.53,5623.13
2023-01-05 05:30:00,6940.83,3909.67,Jan 5th 2023,2023,6064.43,6878.93,5797.05,7034.75,7125.12,6236.33
2023-01-05 05:45:00,6952.13,4127.17,Jan 5th 2023,2023,5746.6,7252.83,6355.47,7381.87,6619.77,6820.73
2023-01-05 06:00:00,7189.93,4639.2,Jan 5th 2023,2023,5863.57,6767.82,6598.33,6800.38,6572.55,5965.45
2023-01-05 06:15:00,6999.0,4802.22,Jan 5th 2023,2023,6080.77,7616.77,7227.55,6969.07,6970.5,6281.7
2023-01-05 06:30:00,7373.08,5427.92,Jan 5th 2023,2023,7097.62,7308.98,8206.05,7401.55,7251.73,6803.42
2023-01-05 06:45:00,8624.82,6035.5,Jan 5th 2023,2023,6852.73,8475.78,8749.92,8550.68,7205.03,7443.45
2023-01-05 07:00:00,9559.43,6362.5,Jan 5th 2023,2023,7207.72,8874.72,9047.1,9446.52,7934.5,6673.93
2023-01-05 07:15:00,9047.22,6460.28,Jan 5th 2023,2023,6767.32,9216.8,9121.78,10013.52,8832.58,6629.02
2023-01-05 07:30:00,9248.62,6680.37,Jan 5th 2023,2023,6826.28,8785.28,8904.9,9052.37,8939.55,7905.03
2023-01-05 07:45:00,9200.52,6446.73,Jan 5th 2023,2023,7694.92,10385.18,9244.68,10247.33,8358.23,8724.58
2023-01-05 08:00:00,10034.67,6103.57,Jan 5th 2023,2023,7813.65,10321.85,8579.52,10137.28,8713.65,8599.1
2023-01-05 08:15:00,10156.95,6608.38,Jan 5th 2023,2023,7537.07,9531.07,8318.28,9781.25,8767.05,8161.53
2023-01-05 08:30:00,9483.73,6365.68,Jan 5th 2023,2023,7932.67,9927.18,8960.95,9830.32,9835.25,8918.98
2023-01-05 08:45:00,8808.77,6468.05,Jan 5th 2023,2023,7954.92,10488.27,9106.1,10169.3,9628.4,9038.13
2023-01-05 09:00:00,9838.18,6840.5,Jan 5th 2023,2023,9221.13,11270.53,9148.62,10493.42,9159.35,8926.52
2023-01-05 09:15:00,9978.77,6471.62,Jan 5th 2023,2023,9026.6,10423.6,9234.13,10324.5,10577.77,8984.58
2023-01-05 09:30:00,9255.88,6332.35,Jan 5th 2023,2023,9328.02,9315.53,8663.72,9569.0,11279.7,9577.07
2023-01-05 09:45:00,8843.95,5991.45,Jan 5th 2023,2023,8886.48,10086.98,8433.6,10450.35,10240.73,10050.6
2023-01-05 10:00:00,9248.53,6208.75,Jan 5th 2023,2023,9197.32,11170.77,8813.2,10758.03,9421.35,10024.83
2023-01-05 10:15:00,9348.52,6176.82,Jan 5th 2023,2023,8825.45,10070.63,8303.77,9635.73,10314.7,9502.95
2023-01-05 10:30:00,9304.88,6185.2,Jan 5th 2023,2023,9188.28,9653.62,9087.28,9790.08,9951.33,9619.15
2023-01-05 10:45:00,8888.37,6050.32,Jan 5th 2023,2023,9396.63,10662.22,8361.58,9811.8,9779.18,10447.72
2023-01-05 11:00:00,8346.38,5816.85,Jan 5th 2023,2023,10499.32,10583.53,8709.18,10227.67,9364.9,10306.88
2023-01-05 11:15:00,9386.12,5729.75,Jan 5th 2023,2023,9863.78,10738.55,8017.22,9697.0,9747.28,8794.82
2023-01-05 11:30:00,9309.7,6071.05,Jan 5th 2023,2023,9910.95,10090.6,8245.6,9513.62,9573.03,8687.25
2023-01-05 11:45:00,8476.87,5873.37,Jan 5th 2023,2023,9511.85,10907.88,8486.9,10277.87,9380.4,9723.65
2023-01-05 12:00:00,8867.82,6275.9,Jan 5th 2023,2023,9082.97,9901.33,8793.4,10569.12,9188.53,9733.27
2023-01-05 12:15:00,9640.95,6456.13,Jan 5th 2023,2023,9966.4,9700.52,8676.15,9881.5,9840.33,9046.37
2023-01-05 12:30:00,9414.27,6085.04,Jan 5th 2023,2023,9108.16,9791.02,8823.87,9548.42,9980.8,8516.98
2023-01-05 12:45:00,8854.45,6143.93,Jan 5th 2023,2023,9081.27,10237.7,8176.2,10312.08,9494.4,9511.85
2023-01-05 13:00:00,9596.52,6573.93,Jan 5th 2023,2023,9363.88,10858.43,8220.92,11076.13,10444.5,9860.32
2023-01-05 13:15:00,9614.72,6846.53,Jan 5th 2023,2023,8462.32,9904.73,8055.48,10407.77,10893.47,10327.65
2023-01-05 13:30:00,10177.63,6826.3,Jan 5th 2023,2023,9110.32,9721.08,8895.07,9949.23,10604.33,9851.1
2023-01-05 13:45:00,9208.12,6452.13,Jan 5th 2023,2023,8638.6,10404.7,9294.0,10007.37,9609.37,9796.95
2023-01-05 14:00:00,8962.6,6336.23,Jan 5th 2023,2023,8272.67,10940.02,8598.25,11357.67,9847.6,10761.6
2023-01-05 14:15:00,8910.73,6177.45,Jan 5th 2023,2023,8355.95,9335.33,8847.02,10508.98,9618.12,10270.62
