dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
2023-01-10 00:00:00,7744.27,5613.15,Jan 10th 2023,2023,8592.7,8156.72,7708.9,8070.6,8805.07,7815.15
2023-01-10 00:15:00,7784.67,5202.03,Jan 10th 2023,2023,9013.97,8780.88,7137.75,8125.9,9075.38,7480.95
2023-01-10 00:30:00,7639.89,4937.32,Jan 10th 2023,2023,8084.63,7934.31,6814.18,7298.0,9111.11,7229.9
2023-01-10 00:45:00,6692.2,4640.85,Jan 10th 2023,2023,7588.02,7821.77,6578.77,6503.7,8558.27,7175.35
2023-01-10 01:00:00,6821.9,4699.52,Jan 10th 2023,2023,7448.9,6855.12,6401.95,6335.2,7681.48,6995.35
2023-01-10 01:15:00,7014.82,4656.2,Jan 10th 2023,2023,8179.08,6238.45,6540.47,6346.63,7677.17,6641.57
2023-01-10 01:30:00,7045.57,4435.73,Jan 10th 2023,2023,7469.55,6964.88,6017.48,6013.55,7279.65,6432.4
2023-01-10 01:45:00,6393.65,4075.85,Jan 10th 2023,2023,7151.35,7411.38,5866.35,5943.28,6928.97,6877.58
2023-01-10 02:00:00,6273.25,4380.57,Jan 10th 2023,2023,7279.43,6498.63,5899.07,6061.65,7518.5,6595.13
2023-01-10 02:15:00,5990.45,4179.7,Jan 10th 2023,2023,7646.03,6148.63,6082.07,5936.5,7607.48,6512.73
2023-01-10 02:30:00,7053.52,4221.5,Jan 10th 2023,2023,6948.48,6315.63,5805.55,5995.62,6713.23,5971.38
2023-01-10 02:45:00,6228.08,4085.75,Jan 10th 2023,2023,6768.98,7031.23,5953.27,5977.1,6722.55,6315.17
2023-01-10 03:00:00,5969.15,3986.78,Jan 10th 2023,2023,6485.05,6267.92,5734.33,5807.67,6228.07,6010.23
2023-01-10 03:15:00,6087.55,4061.53,Jan 10th 2023,2023,7522.63,6095.65,5845.33,5759.17,6280.55,6003.88
2023-01-10 03:30:00,6923.32,4116.0,Jan 10th 2023,2023,7135.83,6274.0,5711.05,5772.63,7230.97,5935.32
2023-01-10 03:45:00,6575.3,4279.02,Jan 10th 2023,2023,6577.8,6832.2,5543.8,5708.93,7083.62,5850.1
2023-01-10 04:00:00,6184.03,4179.73,Jan 10th 2023,2023,6238.72,5968.18,6631.65,5458.35,6622.7,6206.9
2023-01-10 04:15:00,6327.67,4302.82,Jan 10th 2023,2023,6938.68,5900.45,6934.0,5457.5,6567.42,5781.55
2023-01-10 04:30:00,6749.3,3979.07,Jan 10th 2023,2023,6883.68,6258.23,6628.65,5539.02,6227.15,5812.28
2023-01-10 04:45:00,6201.35,3880.0,Jan 10th 2023,2023,6404.05,6798.77,6225.02,6071.43,6247.47,5801.72
2023-01-10 05:00:00,5874.43,3843.88,Jan 10th 2023,2023,6256.3,6062.98,5823.87,6416.28,6660.33,5875.33
2023-01-10 05:15:00,5866.75,3947.57,Jan 10th 2023,2023,6933.53,5623.13,6512.17,6899.52,5975.5,5916.23
2023-01-10 05:30:00,7231.83,4492.17,Jan 10th 2023,2023,7125.12,6236.33,6494.05,6709.87,7329.95,5892.65
2023-01-10 05:45:00,6753.27,4460.33,Jan 10th 2023,2023,6619.77,6820.73,6316.07,6322.27,7390.43,5809.65
2023-01-10 06:00:00,6774.15,4615.57,Jan 10th 2023,2023,6572.55,5965.45,6143.05,6159.07,7066.57,6797.93
2023-01-10 06:15:00,6650.92,4848.93,Jan 10th 2023,2023,6970.5,6281.7,7349.52,6531.8,7743.08,6505.57
2023-01-10 06:30:00,8131.17,4948.37,Jan 10th 2023,2023,7251.73,6803.42,7723.48,6719.88,7734.22,7427.3
2023-01-10 06:45:00,7509.83,5371.63,Jan 10th 2023,2023,7205.03,7443.45,7629.28,7847.48,8037.2,7401.33
2023-01-10 07:00:00,8250.23,5956.78,Jan 10th 2023,2023,7934.5,6673.93,8383.73,10097.98,10514.82,8204.93
