dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3,Month
2023-01-04 00:00:00,8276.55,6451.57,Jan 4th 2023,2023,7993.92,7755.88,7502.4,8829.72,9188.75,8592.7,1
2023-01-04 00:15:00,8278.63,6350.17,Jan 4th 2023,2023,7760.3,7824.42,7791.07,7415.5,8011.12,9013.97,1
2023-01-04 00:30:00,7957.79,5802.89,Jan 4th 2023,2023,7924.57,7137.95,7193.2,7401.62,6990.58,8084.63,1
2023-01-04 00:45:00,7464.58,5547.17,Jan 4th 2023,2023,8126.38,6942.7,7058.55,6854.28,7431.23,7588.02,1
2023-01-04 01:00:00,6754.35,5004.47,Jan 4th 2023,2023,7492.17,6575.33,6818.25,6289.82,6578.68,7448.9,1
2023-01-04 01:15:00,6543.5,4791.87,Jan 4th 2023,2023,6809.65,6233.7,6516.15,6203.97,6264.02,8179.08,1
2023-01-04 01:30:00,6790.15,4996.92,Jan 4th 2023,2023,6828.7,6492.27,6152.75,6031.53,6621.45,7469.55,1
2023-01-04 01:45:00,6556.6,4747.43,Jan 4th 2023,2023,6250.7,6071.82,6015.17,6288.33,6429.85,7151.35,1
2023-01-04 02:00:00,6442.05,4654.68,Jan 4th 2023,2023,6263.35,6072.97,6073.67,6052.32,6000.63,7279.43,1
2023-01-04 02:15:00,6260.98,4506.67,Jan 4th 2023,2023,5892.7,5962.17,6423.6,6122.05,6230.17,7646.03,1
2023-01-04 02:30:00,6309.23,4267.47,Jan 4th 2023,2023,6362.33,5778.9,6683.78,5954.35,6286.05,6948.48,1
2023-01-04 02:45:00,6198.53,4304.97,Jan 4th 2023,2023,6689.2,5843.82,5900.93,6076.93,6296.37,6768.98,1
2023-01-04 03:00:00,6234.72,4462.58,Jan 4th 2023,2023,5977.23,5719.38,5959.2,5723.63,5760.08,6485.05,1
2023-01-04 03:15:00,6036.85,4258.25,Jan 4th 2023,2023,5755.8,5559.92,5937.42,5577.83,6004.95,7522.63,1
2023-01-04 03:30:00,5987.1,4215.48,Jan 4th 2023,2023,5774.68,5881.38,5738.42,5673.02,6169.13,7135.83,1
2023-01-04 03:45:00,6110.65,4380.3,Jan 4th 2023,2023,5700.28,5691.7,5694.48,6071.83,6113.52,6577.8,1
2023-01-04 04:00:00,5857.05,4086.77,Jan 4th 2023,2023,5557.03,5872.57,5512.67,5839.48,5996.5,6238.72,1
2023-01-04 04:15:00,6017.07,4220.3,Jan 4th 2023,2023,5456.03,5705.82,5657.22,5788.32,5712.87,6938.68,1
2023-01-04 04:30:00,6230.7,4435.5,Jan 4th 2023,2023,5450.62,5535.23,5703.9,5721.85,5889.53,6883.68,1
2023-01-04 04:45:00,6133.12,4303.27,Jan 4th 2023,2023,5239.0,5768.15,6305.05,6204.37,5865.25,6404.05,1
2023-01-04 05:00:00,6375.68,4252.35,Jan 4th 2023,2023,5748.98,6036.27,5705.68,6199.05,5765.9,6256.3,1
2023-01-04 05:15:00,5965.37,4223.15,Jan 4th 2023,2023,5517.77,5713.37,5805.68,5570.4,5837.12,6933.53,1
2023-01-04 05:30:00,5797.05,4018.02,Jan 4th 2023,2023,5324.2,6064.43,6878.93,6940.83,7034.75,7125.12,1
2023-01-04 05:45:00,6355.47,4599.37,Jan 4th 2023,2023,5269.15,5746.6,7252.83,6952.13,7381.87,6619.77,1
2023-01-04 06:00:00,6598.33,4827.1,Jan 4th 2023,2023,5571.32,5863.57,6767.82,7189.93,6800.38,6572.55,1
2023-01-04 06:15:00,7227.55,5377.38,Jan 4th 2023,2023,6719.38,6080.77,7616.77,6999.0,6969.07,6970.5,1
2023-01-04 06:30:00,8206.05,6044.95,Jan 4th 2023,2023,6648.3,7097.62,7308.98,7373.08,7401.55,7251.73,1
2023-01-04 06:45:00,8749.92,6594.45,Jan 4th 2023,2023,6854.43,6852.73,8475.78,8624.82,8550.68,7205.03,1
2023-01-04 07:00:00,9047.1,7058.43,Jan 4th 2023,2023,6137.25,7207.72,8874.72,9559.43,9446.52,7934.5,1
2023-01-04 07:15:00,9121.78,6942.28,Jan 4th 2023,2023,6164.27,6767.32,9216.8,9047.22,10013.52,8832.58,1
2023-01-04 07:30:00,8904.9,6657.82,Jan 4th 2023,2023,6385.63,6826.28,8785.28,9248.62,9052.37,8939.55,1
2023-01-04 07:45:00,9244.68,6825.85,Jan 4th 2023,2023,6952.45,7694.92,10385.18,9200.52,10247.33,8358.23,1
2023-01-04 08:00:00,8579.52,6351.63,Jan 4th 2023,2023,6728.93,7813.65,10321.85,10034.67,10137.28,8713.65,1
2023-01-04 08:15:00,8318.28,6336.6,Jan 4th 2023,2023,6348.52,7537.07,9531.07,10156.95,9781.25,8767.05,1
2023-01-04 08:30:00,8960.95,6847.3,Jan 4th 2023,2023,6299.65,7932.67,9927.18,9483.73,9830.32,9835.25,1
2023-01-04 08:45:00,9106.1,6952.28,Jan 4th 2023,2023,7873.63,7954.92,10488.27,8808.77,10169.3,9628.4,1
2023-01-04 09:00:00,9148.62,6766.27,Jan 4th 2023,2023,7742.32,9221.13,11270.53,9838.18,10493.42,9159.35,1
2023-01-04 09:15:00,9234.13,6990.13,Jan 4th 2023,2023,6972.9,9026.6,10423.6,9978.77,10324.5,10577.77,1
2023-01-04 09:30:00,8663.72,6736.97,Jan 4th 2023,2023,7196.65,9328.02,9315.53,9255.88,9569.0,11279.7,1
2023-01-04 09:45:00,8433.6,6015.42,Jan 4th 2023,2023,8552.62,8886.48,10086.98,8843.95,10450.35,10240.73,1
2023-01-04 10:00:00,8813.2,6490.33,Jan 4th 2023,2023,8701.68,9197.32,11170.77,9248.53,10758.03,9421.35,1
2023-01-04 10:15:00,8303.77,5986.57,Jan 4th 2023,2023,7756.2,8825.45,10070.63,9348.52,9635.73,10314.7,1
2023-01-04 10:30:00,9087.28,6030.3,Jan 4th 2023,2023,7805.68,9188.28,9653.62,9304.88,9790.08,9951.33,1
2023-01-04 10:45:00,8361.58,5967.12,Jan 4th 2023,2023,8069.98,9396.63,10662.22,8888.37,9811.8,9779.18,1
2023-01-04 11:00:00,8709.18,5763.08,Jan 4th 2023,2023,8480.88,10499.32,10583.53,8346.38,10227.67,9364.9,1
2023-01-04 11:15:00,8017.22,5314.13,Jan 4th 2023,2023,7922.4,9863.78,10738.55,9386.12,9697.0,9747.28,1
2023-01-04 11:30:00,8245.6,5622.6,Jan 4th 2023,2023,7511.37,9910.95,10090.6,9309.7,9513.62,9573.03,1
2023-01-04 11:45:00,8486.9,5763.47,Jan 4th 2023,2023,8767.1,9511.85,10907.88,8476.87,10277.87,9380.4,1
2023-01-04 12:00:00,8793.4,5816.32,Jan 4th 2023,2023,8394.02,9082.97,9901.33,8867.82,10569.12,9188.53,1
2023-01-04 12:15:00,8676.15,5729.17,Jan 4th 2023,2023,7718.93,9966.4,9700.52,9640.95,9881.5,9840.33,1
2023-01-04 12:30:00,8823.87,5910.58,Jan 4th 2023,2023,7822.61,9108.16,9791.02,9414.27,9548.42,9980.8,1
2023-01-04 12:45:00,8176.2,5825.43,Jan 4th 2023,2023,8317.55,9081.27,10237.7,8854.45,10312.08,9494.4,1
2023-01-04 13:00:00,8220.92,5812.87,Jan 4th 2023,2023,9372.6,9363.88,10858.43,9596.52,11076.13,10444.5,1
2023-01-04 13:15:00,8055.48,5328.87,Jan 4th 2023,2023,8963.33,8462.32,9904.73,9614.72,10407.77,10893.47,1
2023-01-04 13:30:00,8895.07,5832.57,Jan 4th 2023,2023,8098.62,9110.32,9721.08,10177.63,9949.23,10604.33,1
2023-01-04 13:45:00,9294.0,5991.7,Jan 4th 2023,2023,8221.53,8638.6,10404.7,9208.12,10007.37,9609.37,1
2023-01-04 14:00:00,8598.25,5291.98,Jan 4th 2023,2023,9065.02,8272.67,10940.02,8962.6,11357.67,9847.6,1
2023-01-04 14:15:00,8847.02,5948.82,Jan 4th 2023,2023,8412.08,8355.95,9335.33,8910.73,10508.98,9618.12,1
2023-01-04 14:30:00,8681.72,6238.72,Jan 4th 2023,2023,8614.27,8703.43,9243.67,10577.27,10564.38,10791.77,1
2023-01-04 14:45:00,8137.65,5643.5,Jan 4th 2023,2023,8278.12,9087.47,9417.93,9753.35,10519.0,10576.7,1
2023-01-04 15:00:00,8631.92,6121.08,Jan 4th 2023,2023,8600.55,9424.4,10394.87,8311.05,11223.33,9709.3,1
2023-01-04 15:15:00,9300.33,6150.83,Jan 4th 2023,2023,8855.37,9767.3,10576.85,8409.98,11722.18,10458.3,1
2023-01-04 15:30:00,8695.43,6288.48,Jan 4th 2023,2023,8933.65,9787.08,10733.68,9280.57,12847.75,11345.33,1
2023-01-04 15:45:00,8498.03,6150.22,Jan 4th 2023,2023,8705.5,9581.7,10872.7,9074.18,12773.8,10809.78,1
