Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5030607,-,-,-,40.72,-74.01,0,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,2,1.37,0.058,0.61,0,0,0,0,7,-0.30000000000000004,0,0,0,0,0.316,84.63,115.91,0.9400000000000001,0.08,1026,1,347,2.3000000000000003
2021,1,1,1,0,1.5,1.42,0.048,0.61,0,0,0,0,7,-0.8,0,0,0,0,0.32,84.87,127.23,0.93,0.08,1026,0.8,350,2.4000000000000004
2021,1,1,2,0,0.8,1.46,0.042,0.61,0,0,0,0,2,-1.2000000000000002,0,0,0,0,0.322,86.26,138.52,0.92,0.08,1027,0.6000000000000001,353,2.6
2021,1,1,3,0,0.1,1.5,0.037,0.61,0,0,0,0,2,-1.7000000000000002,0,0,0,0,0.323,87.99,149.29,0.91,0.08,1028,0.5,357,2.7
2021,1,1,4,0,-0.30000000000000004,1.51,0.033,0.61,0,0,0,0,2,-1.9000000000000001,0,0,0,0,0.322,88.71000000000001,158.29,0.91,0.08,1028,0.4,4,2.8000000000000003
2021,1,1,5,0,-0.6000000000000001,1.5,0.032,0.61,0,0,0,0,4,-2.1,0,0,0,0,0.322,89.9,162.26,0.91,0.08,1028,0.4,8,2.8000000000000003
2021,1,1,6,0,-0.9,1.49,0.032,0.61,0,0,0,0,2,-2.1,0,0,0,0,0.322,91.85000000000001,158.18,0.91,0.08,1029,0.4,12,2.8000000000000003
2021,1,1,7,0,-1.1,1.45,0.035,0.61,0,0,0,0,4,-2.1,0,0,0,0,0.321,93.01,149.13,0.91,0.08,1029,0.4,16,2.5
2021,1,1,8,0,-1.2000000000000002,1.45,0.035,0.61,0,0,0,0,4,-2.1,0,0,0,0,0.321,93.48,138.35,0.91,0.08,1029,0.4,22,2.3000000000000003
2021,1,1,9,0,-1.3,1.46,0.035,0.61,0,0,0,0,7,-2.1,0,0,0,0,0.32,94.04,127.05,0.91,0.08,1030,0.4,25,2.3000000000000003
2021,1,1,10,0,-1.4000000000000001,1.47,0.039,0.61,0,0,0,0,4,-2.2,0,0,0,0,0.318,94.63,115.73,0.91,0.08,1031,0.4,27,2.2
2021,1,1,11,0,-1.4000000000000001,1.46,0.042,0.61,0,0,0,0,4,-2.2,0,0,0,0,0.317,94.48,104.69,0.91,0.08,1031,0.4,30,2.2
2021,1,1,12,0,-1.3,1.42,0.044,0.61,0,0,0,0,4,-2.1,0,0,0,0,0.317,94.14,94.19,0.91,0.08,1031,0.4,34,2.3000000000000003
2021,1,1,13,0,0.4,1.35,0.051000000000000004,0.61,31,457,76,7,7,-1.5,55,94,7,64,0.316,87.24,84.38,0.92,0.08,1031,0.4,46,2.7
2021,1,1,14,0,1.6,1.34,0.053,0.61,54,706,224,0,8,-1.2000000000000002,118,242,0,177,0.316,81.73,76.07000000000001,0.93,0.08,1031,0.5,59,2.7
2021,1,1,15,0,3.1,1.3900000000000001,0.047,0.61,63,829,355,0,8,-1.4000000000000001,141,397,0,281,0.313,72.22,69.44,0.92,0.08,1030,0.5,74,2.7
2021,1,1,16,0,3.9000000000000004,1.3,0.065,0.61,76,839,429,0,6,-1.6,145,13,0,150,0.307,67.2,65.13,0.9400000000000001,0.08,1029,0.7000000000000001,82,2.5
2021,1,1,17,0,3.9000000000000004,1.23,0.08600000000000001,0.61,86,816,449,0,6,-1.4000000000000001,114,3,0,116,0.303,68.37,63.63,0.96,0.08,1028,0.9,85,2
