"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Winter 2022-23","Citywide","1","0","New York City","6.1","5.4","6.9"
"Winter 2022-23","Borough","1","1","Bronx","6.6","6.3","6.9"
"Winter 2022-23","Borough","2","1","Brooklyn","6.3","5.7","7.0"
"Winter 2022-23","Borough","3","1","Manhattan","7.2","6.4","8.8"
"Winter 2022-23","Borough","4","1","Queens","6.1","5.5","6.8"
"Winter 2022-23","Borough","5","1","Staten Island","5.5","5.2","5.9"
"Winter 2021-22","Citywide","1","0","New York City","6.8","6.0","7.5"
"Winter 2021-22","Borough","1","1","Bronx","7.3","6.9","7.6"
"Winter 2021-22","Borough","2","1","Brooklyn","6.9","6.4","7.5"
"Winter 2021-22","Borough","3","1","Manhattan","7.9","6.8","9.9"
"Winter 2021-22","Borough","4","1","Queens","6.7","6.2","7.3"
"Winter 2021-22","Borough","5","1","Staten Island","6.1","5.6","6.5"
"Winter 2020-21","Citywide","1","0","New York City","6.7","6.3","7.4"
"Winter 2020-21","Borough","1","1","Bronx","6.6","6.2","7.1"
"Winter 2020-21","Borough","2","1","Brooklyn","6.9","6.4","7.6"
"Winter 2020-21","Borough","3","1","Manhattan","7.5","6.6","8.9"
"Winter 2020-21","Borough","4","1","Queens","6.7","6.2","7.2"
"Winter 2020-21","Borough","5","1","Staten Island","6.5","6.4","6.7"
"Winter 2019-20","Citywide","1","0","New York City","7.4","6.3","8.5"
"Winter 2019-20","Borough","1","1","Bronx","7.0","6.3","7.7"
"Winter 2019-20","Borough","2","1","Brooklyn","7.6","6.8","8.6"
"Winter 2019-20","Borough","3","1","Manhattan","9.1","7.2","12.1"
"Winter 2019-20","Borough","4","1","Queens","7.6","6.8","8.4"
"Winter 2019-20","Borough","5","1","Staten Island","6.7","5.7","7.5"
"Winter 2018-19","Citywide","1","0","New York City","7.2","6.3","8.5"
"Winter 2018-19","Borough","1","1","Bronx","7.5","6.8","8.3"
"Winter 2018-19","Borough","2","1","Brooklyn","7.3","6.5","8.5"
"Winter 2018-19","Borough","3","1","Manhattan","9.3","7.4","12.3"
"Winter 2018-19","Borough","4","1","Queens","7.1","6.5","8.1"
"Winter 2018-19","Borough","5","1","Staten Island","6.5","6.1","7.0"
"Winter 2017-18","Citywide","1","0","New York City","8.2","7.4","9.4"
"Winter 2017-18","Borough","1","1","Bronx","8.3","7.7","8.8"
"Winter 2017-18","Borough","2","1","Brooklyn","8.5","7.7","9.7"
"Winter 2017-18","Borough","3","1","Manhattan","9.6","8.2","11.5"
"Winter 2017-18","Borough","4","1","Queens","7.9","7.2","8.6"
"Winter 2017-18","Borough","5","1","Staten Island","7.8","7.4","8.3"
"Winter 2016-17","Citywide","1","0","New York City","7.9","6.9","8.9"
"Winter 2016-17","Borough","1","1","Bronx","8.3","7.7","9.1"
"Winter 2016-17","Borough","2","1","Brooklyn","7.9","7.3","9.0"
"Winter 2016-17","Borough","3","1","Manhattan","9.0","8.0","10.4"
"Winter 2016-17","Borough","4","1","Queens","8.0","7.4","8.6"
"Winter 2016-17","Borough","5","1","Staten Island","7.1","6.7","7.6"
"Winter 2015-16","Citywide","1","0","New York City","8.0","6.9","9.6"
"Winter 2015-16","Borough","1","1","Bronx","8.4","7.7","9.3"
"Winter 2015-16","Borough","2","1","Brooklyn","8.4","7.0","10.0"
"Winter 2015-16","Borough","3","1","Manhattan","9.4","8.3","11.0"
"Winter 2015-16","Borough","4","1","Queens","7.6","6.6","8.6"
"Winter 2015-16","Borough","5","1","Staten Island","7.5","6.8","8.3"
"Winter 2014-15","Citywide","1","0","New York City","9.1","7.9","10.7"
"Winter 2014-15","Borough","1","1","Bronx","10.2","9.5","11.1"
"Winter 2014-15","Borough","2","1","Brooklyn","9.0","8.0","10.4"
"Winter 2014-15","Borough","3","1","Manhattan","10.9","10.0","12.5"
"Winter 2014-15","Borough","4","1","Queens","8.9","7.9","9.9"
"Winter 2014-15","Borough","5","1","Staten Island","8.4","7.8","9.1"
"Winter 2013-14","Citywide","1","0","New York City","11.9","10.6","13.4"
"Winter 2013-14","Borough","1","1","Bronx","12.5","11.6","13.5"
"Winter 2013-14","Borough","2","1","Brooklyn","11.9","10.8","13.2"
"Winter 2013-14","Borough","3","1","Manhattan","14.1","12.7","16.3"
"Winter 2013-14","Borough","4","1","Queens","11.2","10.1","12.5"
"Winter 2013-14","Borough","5","1","Staten Island","11.8","11.3","12.5"
"Winter 2012-13","Citywide","1","0","New York City","10.3","9.3","12.1"
"Winter 2012-13","Borough","1","1","Bronx","11.2","10.1","12.4"
"Winter 2012-13","Borough","2","1","Brooklyn","10.3","9.5","11.5"
"Winter 2012-13","Borough","3","1","Manhattan","12.8","11.6","14.9"
"Winter 2012-13","Borough","4","1","Queens","9.9","9.1","10.9"
"Winter 2012-13","Borough","5","1","Staten Island","9.7","9.3","10.3"
"Winter 2011-12","Citywide","1","0","New York City","9.2","7.9","10.9"
"Winter 2011-12","Borough","1","1","Bronx","9.9","8.7","11.3"
"Winter 2011-12","Borough","2","1","Brooklyn","9.2","7.9","10.5"
"Winter 2011-12","Borough","3","1","Manhattan","11.3","10.1","13.0"
"Winter 2011-12","Borough","4","1","Queens","8.8","7.8","9.8"
"Winter 2011-12","Borough","5","1","Staten Island","8.4","7.6","9.3"
"Winter 2010-11","Citywide","1","0","New York City","12.6","11.2","14.4"
"Winter 2010-11","Borough","1","1","Bronx","13.8","12.9","14.9"
"Winter 2010-11","Borough","2","1","Brooklyn","12.6","11.4","14.0"
"Winter 2010-11","Borough","3","1","Manhattan","14.8","13.8","16.2"
"Winter 2010-11","Borough","4","1","Queens","12.1","11.1","13.2"
"Winter 2010-11","Borough","5","1","Staten Island","11.7","11.1","12.4"
"Winter 2009-10","Citywide","1","0","New York City","9.9","8.6","11.5"
"Winter 2009-10","Borough","1","1","Bronx","10.9","9.6","12.4"
"Winter 2009-10","Borough","2","1","Brooklyn","10.0","9.0","10.9"
"Winter 2009-10","Borough","3","1","Manhattan","12.0","10.2","14.0"
"Winter 2009-10","Borough","4","1","Queens","9.4","8.5","10.3"
"Winter 2009-10","Borough","5","1","Staten Island","9.1","8.5","9.8"
"Winter 2008-09","Citywide","1","0","New York City","12.9","11.2","14.8"
