dateTimeStmp,raw_MM_Wh,raw_Tenant_Wh,Exact_Date,year,D-3,D-2,D-1,D+1,D+2,D+3
2023-01-09 00:00:00,7708.9,5765.53,Jan 9th 2023,2023,9188.75,8592.7,8156.72,7744.27,8070.6,8805.07
2023-01-09 00:15:00,7137.75,5146.85,Jan 9th 2023,2023,8011.12,9013.97,8780.88,7784.67,8125.9,9075.38
2023-01-09 00:30:00,6814.18,4981.39,Jan 9th 2023,2023,6990.58,8084.63,7934.31,7639.89,7298.0,9111.11
2023-01-09 00:45:00,6578.77,4689.9,Jan 9th 2023,2023,7431.23,7588.02,7821.77,6692.2,6503.7,8558.27
2023-01-09 01:00:00,6401.95,4592.57,Jan 9th 2023,2023,6578.68,7448.9,6855.12,6821.9,6335.2,7681.48
2023-01-09 01:15:00,6540.47,4628.67,Jan 9th 2023,2023,6264.02,8179.08,6238.45,7014.82,6346.63,7677.17
2023-01-09 01:30:00,6017.48,4169.17,Jan 9th 2023,2023,6621.45,7469.55,6964.88,7045.57,6013.55,7279.65
2023-01-09 01:45:00,5866.35,4016.25,Jan 9th 2023,2023,6429.85,7151.35,7411.38,6393.65,5943.28,6928.97
2023-01-09 02:00:00,5899.07,4039.98,Jan 9th 2023,2023,6000.63,7279.43,6498.63,6273.25,6061.65,7518.5
2023-01-09 02:15:00,6082.07,4198.9,Jan 9th 2023,2023,6230.17,7646.03,6148.63,5990.45,5936.5,7607.48
2023-01-09 02:30:00,5805.55,3951.02,Jan 9th 2023,2023,6286.05,6948.48,6315.63,7053.52,5995.62,6713.23
2023-01-09 02:45:00,5953.27,4086.75,Jan 9th 2023,2023,6296.37,6768.98,7031.23,6228.08,5977.1,6722.55
2023-01-09 03:00:00,5734.33,3897.83,Jan 9th 2023,2023,5760.08,6485.05,6267.92,5969.15,5807.67,6228.07
2023-01-09 03:15:00,5845.33,4019.83,Jan 9th 2023,2023,6004.95,7522.63,6095.65,6087.55,5759.17,6280.55
