dateTimeStmp,HOURLY_MM_Wh
1/1/2021 0:00,34447.13 
1/1/2021 1:00,31143.52 
1/1/2021 2:00,26620.35
1/1/2021 3:00,25160.99 
1/1/2021 4:00,24652.67
1/1/2021 5:00,24356.56
1/1/2021 6:00,24784.39 
1/1/2021 7:00,26314.70 
1/1/2021 8:00,28475.42
1/1/2021 9:00,29819.35 
1/1/2021 10:00,34843.88 
1/1/2021 11:00,36344.85 
1/1/2021 12:00,37645.99 
1/1/2021 13:00,37645.75 
1/1/2021 14:00,42660.25 
1/1/2021 15:00,41383.67
1/1/2021 16:00,48347.95
1/1/2021 17:00,49224.50 
1/1/2021 18:00,45857.37
1/1/2021 19:00,46074.88
1/1/2021 20:00,44447.41 
1/1/2021 21:00,41554.04
1/1/2021 22:00,39405.68 
1/1/2021 23:00,34411.04 
1/2/2021 0:00,30501.90 
1/2/2021 1:00,27071.10 
1/2/2021 2:00,25195.40 
1/2/2021 3:00,24550.06 
1/2/2021 4:00,24607.37
1/2/2021 5:00,23906.74 
1/2/2021 6:00,24913.71 
1/2/2021 7:00,28244.51 
1/2/2021 8:00,31431.34 
1/2/2021 9:00,34319.14 
1/2/2021 10:00,36086.58 
1/2/2021 11:00,39243.46
1/2/2021 12:00,40591.75 
1/2/2021 13:00,40336.54 
1/2/2021 14:00,37775.23
1/2/2021 15:00,37671.32
1/2/2021 16:00,38592.60 
1/2/2021 17:00,45130.97 
1/2/2021 18:00,45858.17 
1/2/2021 19:00,47672.18 
1/2/2021 20:00,46659.93 
1/2/2021 21:00,45630.68 
1/2/2021 22:00,38676.75 
1/2/2021 23:00,35133.48
1/3/2021 0:00,31300.24
1/3/2021 1:00,27511.85 
1/3/2021 2:00,25147.20 
1/3/2021 3:00,24523.42 
1/3/2021 4:00,23505.74 
1/3/2021 5:00,23353.07 
1/3/2021 6:00,24227.70 
1/3/2021 7:00,26022.8
1/3/2021 8:00,30163.02
1/3/2021 9:00,33762.57
1/3/2021 10:00,37106.69 
1/3/2021 11:00,37207.64 
1/3/2021 12:00,40660.91 
1/3/2021 13:00,42225.89 
1/3/2021 14:00,43070.70 
1/3/2021 15:00,45450.13 
1/3/2021 16:00,47092.84 
1/3/2021 17:00,47736.26 
1/3/2021 18:00,47923.98
1/3/2021 19:00,48450.43 
1/3/2021 20:00,46606.69 
1/3/2021 21:00,43430.77 
1/3/2021 22:00,41557.32 
1/3/2021 23:00,35200.66
1/4/2021 0:00,29005.35 
1/4/2021 1:00,26518.11 
1/4/2021 2:00,24996.69
1/4/2021 3:00,24681.1
1/4/2021 4:00,24446.39 
1/4/2021 5:00,24072.00 
1/4/2021 6:00,26442.69
1/4/2021 7:00,30539.63
1/4/2021 8:00,33387.35 
1/4/2021 9:00,34819.98
1/4/2021 10:00,38362.02
1/4/2021 11:00,40762.13
1/4/2021 12:00,41719.66
1/4/2021 13:00,42175.94 
1/4/2021 14:00,40558.39 
1/4/2021 15:00,41841.31 
1/4/2021 16:00,40381.09 
1/4/2021 17:00,44628.94 
1/4/2021 18:00,46381.26 
1/4/2021 19:00,44704.88
1/4/2021 20:00,43415.35 
1/4/2021 21:00,44824.44 
1/4/2021 22:00,40155.21 
1/4/2021 23:00,33922.51
1/5/2021 0:00,29036.24 
1/5/2021 1:00,25163.79 
1/5/2021 2:00,24490.71 
1/5/2021 3:00,24049.05 
1/5/2021 4:00,23633.53 
1/5/2021 5:00,23802.57 
1/5/2021 6:00,26921.03 
1/5/2021 7:00,31795.19 
1/5/2021 8:00,34918.51 
1/5/2021 9:00,37983.20 
1/5/2021 10:00,38014.29 
1/5/2021 11:00,37077.38
1/5/2021 12:00,39701.75 
1/5/2021 13:00,39059.75 
