dateTimeStmp,HOURLY_MM_Wh
2021-01-01 00:00:00,8611.78
2021-01-01 01:00:00,7785.88
2021-01-01 02:00:00,6655.09
2021-01-01 03:00:00,6290.25
2021-01-01 04:00:00,6163.17
2021-01-01 05:00:00,6089.14
2021-01-01 06:00:00,6196.1
2021-01-01 07:00:00,6578.68
2021-01-01 08:00:00,7118.86
2021-01-01 09:00:00,7454.84
2021-01-01 10:00:00,8710.97
2021-01-01 11:00:00,9086.21
2021-01-01 12:00:00,9411.5
2021-01-01 13:00:00,9411.44
2021-01-01 14:00:00,10665.06
2021-01-01 15:00:00,10345.92
2021-01-01 16:00:00,12086.99
2021-01-01 17:00:00,12306.12
2021-01-01 18:00:00,11464.34
2021-01-01 19:00:00,11518.72
2021-01-01 20:00:00,11111.85
2021-01-01 21:00:00,10388.51
2021-01-01 22:00:00,9851.42
2021-01-01 23:00:00,8602.76
2021-01-02 00:00:00,7625.48
2021-01-02 01:00:00,6767.78
2021-01-02 02:00:00,6298.85
2021-01-02 03:00:00,6137.52
2021-01-02 04:00:00,6151.84
2021-01-02 05:00:00,5976.68
2021-01-02 06:00:00,6228.43
2021-01-02 07:00:00,7061.13
2021-01-02 08:00:00,7857.84
2021-01-02 09:00:00,8579.78
2021-01-02 10:00:00,9021.64
2021-01-02 11:00:00,9810.86
2021-01-02 12:00:00,10147.94
2021-01-02 13:00:00,10084.14
2021-01-02 14:00:00,9443.81
2021-01-02 15:00:00,9417.83
2021-01-02 16:00:00,9648.15
2021-01-02 17:00:00,11282.74
2021-01-02 18:00:00,11464.54
2021-01-02 19:00:00,11918.04
2021-01-02 20:00:00,11664.98
2021-01-02 21:00:00,11407.67
2021-01-02 22:00:00,9669.19
2021-01-02 23:00:00,8783.37
2021-01-03 00:00:00,7825.06
2021-01-03 01:00:00,6877.96
2021-01-03 02:00:00,6286.8
2021-01-03 03:00:00,6130.86
2021-01-03 04:00:00,5876.44
2021-01-03 05:00:00,5838.27
2021-01-03 06:00:00,6056.92
2021-01-03 07:00:00,6505.7
2021-01-03 08:00:00,7540.76
2021-01-03 09:00:00,8440.64
2021-01-03 10:00:00,9276.67
2021-01-03 11:00:00,9301.91
2021-01-03 12:00:00,10165.23
2021-01-03 13:00:00,10556.47
2021-01-03 14:00:00,10767.68
2021-01-03 15:00:00,11362.53
2021-01-03 16:00:00,11773.21
2021-01-03 17:00:00,11934.06
2021-01-03 18:00:00,11981.0
2021-01-03 19:00:00,12112.61
2021-01-03 20:00:00,11651.67
2021-01-03 21:00:00,10857.69
2021-01-03 22:00:00,10389.33
2021-01-03 23:00:00,8800.17
2021-01-04 00:00:00,7251.34
2021-01-04 01:00:00,6629.53
2021-01-04 02:00:00,6249.17
2021-01-04 03:00:00,6170.28
2021-01-04 04:00:00,6111.6
2021-01-04 05:00:00,6018.0
2021-01-04 06:00:00,6610.67
2021-01-04 07:00:00,7634.91
2021-01-04 08:00:00,8346.84
2021-01-04 09:00:00,8705.0
2021-01-04 10:00:00,9590.5
2021-01-04 11:00:00,10190.53
2021-01-04 12:00:00,10429.92
2021-01-04 13:00:00,10543.98
2021-01-04 14:00:00,10139.6
2021-01-04 15:00:00,10460.33
2021-01-04 16:00:00,10095.27
2021-01-04 17:00:00,11157.24
2021-01-04 18:00:00,11595.32
2021-01-04 19:00:00,11176.22
2021-01-04 20:00:00,10853.84
2021-01-04 21:00:00,11206.11
2021-01-04 22:00:00,10038.8
2021-01-04 23:00:00,8480.63
2021-01-05 00:00:00,7259.06
2021-01-05 01:00:00,6290.95
2021-01-05 02:00:00,6122.68
2021-01-05 03:00:00,6012.26
2021-01-05 04:00:00,5908.38
2021-01-05 05:00:00,5950.64
2021-01-05 06:00:00,6730.26
2021-01-05 07:00:00,7948.8
2021-01-05 08:00:00,8729.63
2021-01-05 09:00:00,9495.8
2021-01-05 10:00:00,9503.57
2021-01-05 11:00:00,9269.34
2021-01-05 12:00:00,9925.44
2021-01-05 13:00:00,9764.94
2021-01-05 14:00:00,9410.54
2021-01-05 15:00:00,9698.21
2021-01-05 16:00:00,9922.0
2021-01-05 17:00:00,10834.89
2021-01-05 18:00:00,11454.93
2021-01-05 19:00:00,11531.08
2021-01-05 20:00:00,11908.23
2021-01-05 21:00:00,11252.71
2021-01-05 22:00:00,10053.96
2021-01-05 23:00:00,9007.29
2021-01-06 00:00:00,7938.03
2021-01-06 01:00:00,7006.92
2021-01-06 02:00:00,6279.01
2021-01-06 03:00:00,6165.76
2021-01-06 04:00:00,6007.53
2021-01-06 05:00:00,5933.62
2021-01-06 06:00:00,6872.54
2021-01-06 07:00:00,7739.16
2021-01-06 08:00:00,9236.76
2021-01-06 09:00:00,9661.54
2021-01-06 10:00:00,9663.46
2021-01-06 11:00:00,9739.53
2021-01-06 12:00:00,10032.06
2021-01-06 13:00:00,9921.22
2021-01-06 14:00:00,9896.32
2021-01-06 15:00:00,10148.42
2021-01-06 16:00:00,9807.88
2021-01-06 17:00:00,11285.0
2021-01-06 18:00:00,12546.34
2021-01-06 19:00:00,11677.65
2021-01-06 20:00:00,12119.9
2021-01-06 21:00:00,11400.94
2021-01-06 22:00:00,10917.51
2021-01-06 23:00:00,9067.77
2021-01-07 00:00:00,7781.24
2021-01-07 01:00:00,6638.46
2021-01-07 02:00:00,6075.17
2021-01-07 03:00:00,5997.22
2021-01-07 04:00:00,5930.16
2021-01-07 05:00:00,5837.37
2021-01-07 06:00:00,6391.94
2021-01-07 07:00:00,8318.24
2021-01-07 08:00:00,9133.36
2021-01-07 09:00:00,9673.77
2021-01-07 10:00:00,9699.85
2021-01-07 11:00:00,9957.52
2021-01-07 12:00:00,10204.23
2021-01-07 13:00:00,9903.88
2021-01-07 14:00:00,9561.53
2021-01-07 15:00:00,10080.92
2021-01-07 16:00:00,10356.55
2021-01-07 17:00:00,11424.66
2021-01-07 18:00:00,11873.3
2021-01-07 19:00:00,12329.08
2021-01-07 20:00:00,11819.18
2021-01-07 21:00:00,11284.48
2021-01-07 22:00:00,10017.7
2021-01-07 23:00:00,8982.19
2021-01-08 00:00:00,8117.12
2021-01-08 01:00:00,6761.6
2021-01-08 02:00:00,6091.34
2021-01-08 03:00:00,6001.64
2021-01-08 04:00:00,5885.8
2021-01-08 05:00:00,5864.23
2021-01-08 06:00:00,6745.52
2021-01-08 07:00:00,7773.45
2021-01-08 08:00:00,9185.69
2021-01-08 09:00:00,9623.27
2021-01-08 10:00:00,10137.96
2021-01-08 11:00:00,10635.6
2021-01-08 12:00:00,10646.25
2021-01-08 13:00:00,10615.96
2021-01-08 14:00:00,11047.6
2021-01-08 15:00:00,10613.79
2021-01-08 16:00:00,12102.74
2021-01-08 17:00:00,12566.58
2021-01-08 18:00:00,12063.49
2021-01-08 19:00:00,11598.44
2021-01-08 20:00:00,11313.17
2021-01-08 21:00:00,11103.39
2021-01-08 22:00:00,10335.78
2021-01-08 23:00:00,8805.24
2021-01-09 00:00:00,7670.22
2021-01-09 01:00:00,7054.7
2021-01-09 02:00:00,6561.12
2021-01-09 03:00:00,6232.84
2021-01-09 04:00:00,6108.53
2021-01-09 05:00:00,5981.94
2021-01-09 06:00:00,6423.22
2021-01-09 07:00:00,7811.26
2021-01-09 08:00:00,9393.4
2021-01-09 09:00:00,9989.98
2021-01-09 10:00:00,9747.03
2021-01-09 11:00:00,9631.36
2021-01-09 12:00:00,9381.25
2021-01-09 13:00:00,9815.04
2021-01-09 14:00:00,9806.41
2021-01-09 15:00:00,10199.46
2021-01-09 16:00:00,10799.49
2021-01-09 17:00:00,11375.98
2021-01-09 18:00:00,12762.14
2021-01-09 19:00:00,12206.9
2021-01-09 20:00:00,11954.79
2021-01-09 21:00:00,11261.34
2021-01-09 22:00:00,10570.18
2021-01-09 23:00:00,9585.36
2021-01-10 00:00:00,8184.5
2021-01-10 01:00:00,6903.67
2021-01-10 02:00:00,6649.98
2021-01-10 03:00:00,6293.51
2021-01-10 04:00:00,6036.44
2021-01-10 05:00:00,5992.34
2021-01-10 06:00:00,6185.07
2021-01-10 07:00:00,7747.92
2021-01-10 08:00:00,8341.12
2021-01-10 09:00:00,9456.92
2021-01-10 10:00:00,9434.69
2021-01-10 11:00:00,9033.65
2021-01-10 12:00:00,9682.63
2021-01-10 13:00:00,9649.56
2021-01-10 14:00:00,10655.43
2021-01-10 15:00:00,10609.3
2021-01-10 16:00:00,10422.68
2021-01-10 17:00:00,12341.88
2021-01-10 18:00:00,12816.37
2021-01-10 19:00:00,12729.18
2021-01-10 20:00:00,13012.67
2021-01-10 21:00:00,11865.42
2021-01-10 22:00:00,10731.44
2021-01-10 23:00:00,8765.74
2021-01-11 00:00:00,7388.69
2021-01-11 01:00:00,6309.4
2021-01-11 02:00:00,6104.79
2021-01-11 03:00:00,6079.12
2021-01-11 04:00:00,5977.96
2021-01-11 05:00:00,6004.74
2021-01-11 06:00:00,7429.51
2021-01-11 07:00:00,8578.33
2021-01-11 08:00:00,9607.24
2021-01-11 09:00:00,9915.05
2021-01-11 10:00:00,10310.75
2021-01-11 11:00:00,10808.94
2021-01-11 12:00:00,10698.5
2021-01-11 13:00:00,10406.06
2021-01-11 14:00:00,10842.43
2021-01-11 15:00:00,10578.46
2021-01-11 16:00:00,11506.52
2021-01-11 17:00:00,12059.71
2021-01-11 18:00:00,12618.28
2021-01-11 19:00:00,12671.21
2021-01-11 20:00:00,12491.91
2021-01-11 21:00:00,12069.96
2021-01-11 22:00:00,11325.78
2021-01-11 23:00:00,9782.96
2021-01-12 00:00:00,7501.86
2021-01-12 01:00:00,6551.74
2021-01-12 02:00:00,6364.61
2021-01-12 03:00:00,6180.69
2021-01-12 04:00:00,6000.41
2021-01-12 05:00:00,6169.92
2021-01-12 06:00:00,7084.46
2021-01-12 07:00:00,8513.7
2021-01-12 08:00:00,9304.51
2021-01-12 09:00:00,9526.69
2021-01-12 10:00:00,9598.56
2021-01-12 11:00:00,10090.33
2021-01-12 12:00:00,10416.04
2021-01-12 13:00:00,10045.49
2021-01-12 14:00:00,10511.09
2021-01-12 15:00:00,10497.98
2021-01-12 16:00:00,10464.68
2021-01-12 17:00:00,11613.3
2021-01-12 18:00:00,13317.28
2021-01-12 19:00:00,12351.63
2021-01-12 20:00:00,11938.2
2021-01-12 21:00:00,11716.04
2021-01-12 22:00:00,10781.65
2021-01-12 23:00:00,9065.17
2021-01-13 00:00:00,8020.47
2021-01-13 01:00:00,6807.17
2021-01-13 02:00:00,6273.68
2021-01-13 03:00:00,5976.56
2021-01-13 04:00:00,5860.26
2021-01-13 05:00:00,6065.01
2021-01-13 06:00:00,7135.74
2021-01-13 07:00:00,8941.03
2021-01-13 08:00:00,9736.28
2021-01-13 09:00:00,9870.92
2021-01-13 10:00:00,10046.46
2021-01-13 11:00:00,9817.01
2021-01-13 12:00:00,10508.19
2021-01-13 13:00:00,10639.46
2021-01-13 14:00:00,10462.1
2021-01-13 15:00:00,10160.11
2021-01-13 16:00:00,10694.88
2021-01-13 17:00:00,11066.73
2021-01-13 18:00:00,12418.6
2021-01-13 19:00:00,11976.76
2021-01-13 20:00:00,12365.63
2021-01-13 21:00:00,11848.8
2021-01-13 22:00:00,10467.24
2021-01-13 23:00:00,9378.77
2021-01-14 00:00:00,7723.38
