period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-12,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.34,$/MCF
2024-11,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),19.61,$/MCF
2024-10,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),22.31,$/MCF
2024-09,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),23.46,$/MCF
2024-08,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),23.29,$/MCF
2024-07,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),23.22,$/MCF
2024-06,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),21.38,$/MCF
2024-05,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),18.13,$/MCF
2024-04,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.04,$/MCF
2024-03,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.46,$/MCF
2024-02,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.75,$/MCF
2024-01,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.55,$/MCF
2023-12,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.71,$/MCF
