,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN,Feel_Factor,,T2M: Air temperature at 2 meters (°C)
1/1/2020 0:00,3.49,83.66,5.61,0,3.357468700000002,,RH2M: Relative humidity at 2 meters (%)
1/1/2020 1:00,3.21,83.71,5.69,0,3.0835275500000012,,WS2M: Wind speed at 2 meters (m/s)
1/1/2020 2:00,2.89,85.02,5.68,0,2.710547900000001,,ALLSKY_SFC_SW_DWN: Surface all-sky downward shortwave radiation (W/m²)
1/1/2020 3:00,2.59,85.97,5.69,0,2.371035150000001,,
1/1/2020 4:00,2.39,85.88,5.86,0,2.1584626000000013,,
1/1/2020 5:00,2.28,83.02,6.05,0,2.211225800000001,,
1/1/2020 6:00,2.28,80.59,6.2,0,2.3445461000000005,,
1/1/2020 7:00,2.2,79.96,6.27,8.18,2.3017060000000016,,
1/1/2020 8:00,2.63,78.27,6.61,75.55,2.7266430500000007,,
1/1/2020 9:00,3.19,73.6,7.03,189.98,3.426212000000001,,
1/1/2020 10:00,3.51,70.94,7.2,279.52,3.8265317000000003,,
1/1/2020 11:00,3.8,69.06,7.18,266.3,4.184819,,
1/1/2020 12:00,4.02,67.38,7.16,239.77,4.4682168,,
1/1/2020 13:00,4.07,66.77,7.06,142.48,4.564238950000001,,
1/1/2020 14:00,4.02,67.44,6.87,127.57,4.522758400000001,,
1/1/2020 15:00,3.81,69.1,6.47,50.2,4.332765500000001,,
1/1/2020 16:00,3.04,73.23,5.89,10.38,3.549313100000001,,
1/1/2020 17:00,2.56,74.74,5.64,0,3.090824200000001,,
1/1/2020 18:00,2.25,75.8,5.42,0,2.7964750000000014,,
1/1/2020 19:00,1.98,75.95,5.13,0,2.6100830000000004,,
1/1/2020 20:00,1.76,75.79,4.86,0,2.4843947000000006,,
1/1/2020 21:00,1.58,75.14,4.55,0,2.436551600000001,,
1/1/2020 22:00,1.49,75.16,4.47,0,2.373426200000001,,
1/1/2020 23:00,1.45,75.63,4.59,0,2.281156750000001,,
1/2/2020 0:00,1.43,76.24,4.62,0,2.2139876000000007,,
1/2/2020 1:00,1.43,76.99,4.55,0,2.174073850000001,,
1/2/2020 2:00,1.35,79.63,4.28,0,1.9672602500000014,,
1/2/2020 3:00,1.42,81.16,4.24,0,1.927349600000001,,
1/2/2020 4:00,1.57,81.96,4.33,0,1.9869146000000009,,
1/2/2020 5:00,1.66,83.08,4.33,0,1.9888904000000012,,
1/2/2020 6:00,1.76,84.38,4.27,0,2.000493400000001,,
1/2/2020 7:00,2.02,85.15,4.29,12.62,2.1813040000000004,,
1/2/2020 8:00,3.01,83.04,4.5,126.03,3.1817872,,
1/2/2020 9:00,4.09,81.12,4.49,262.15,4.272974400000001,,
